Instancia,Opt_Veh,Opt_Dist,Run1_Veh,Run1_Dist,Run2_Veh,Run2_Dist,Run3_Veh,Run3_Dist,Run4_Veh,Run4_Dist,Run5_Veh,Run5_Dist,Run6_Veh,Run6_Dist,Run7_Veh,Run7_Dist,Run8_Veh,Run8_Dist,Run9_Veh,Run9_Dist,Run10_Veh,Run10_Dist,Best_Veh,Avg_Veh,Std_Veh,Best_Dist,Avg_Dist,Std_Dist,Veh_GAP,Dist_GAP,Unified_GAP,Avg_Time(s)
C101,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,6.99
C102,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,9.44
C103,10.0,828.06,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,10.00,0.000,828.07,828.07,0.00,0.00,0.00,0.00,11.08
C104,10.0,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,10.00,0.000,824.78,824.78,0.00,0.00,-0.00,-0.00,11.72
C105,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,11.07
C106,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,11.72
C107,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,10.89
C108,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,12.46
C109,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,12.75
C201,3.0,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,3.00,0.000,591.56,591.56,0.00,0.00,-0.00,-0.00,9.87
C202,3.0,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,3.00,0.000,591.56,591.56,0.00,0.00,-0.00,-0.00,12.62
C203,3.0,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,3.00,0.000,591.17,591.17,0.00,0.00,0.00,0.00,14.34
C204,3.0,590.6,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,3.00,0.000,590.60,590.60,0.00,0.00,-0.00,-0.00,14.86
C205,3.0,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,3.00,0.000,588.88,588.88,0.00,0.00,-0.00,-0.00,8.74
C206,3.0,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,3.00,0.000,588.49,588.49,0.00,0.00,0.00,0.00,9.16
C207,3.0,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,3.00,0.000,588.29,588.29,0.00,0.00,-0.00,-0.00,9.94
C208,3.0,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,3.00,0.000,588.32,588.32,0.00,0.00,0.00,0.00,9.49
R101,19.0,1650.8,19,1651.01,19,1650.80,19,1652.17,19,1651.01,19,1650.80,19,1650.80,19,1651.01,19,1650.80,19,1650.80,19,1651.01,19,19.00,0.000,1650.80,1651.02,0.40,0.00,0.01,0.01,13.17
R102,17.0,1486.12,17,1488.72,17,1491.86,17,1487.31,17,1487.31,17,1487.31,17,1487.31,17,1486.12,17,1486.12,17,1487.31,17,1487.31,17,17.00,0.000,1486.12,1487.67,1.56,0.00,0.10,0.10,17.52
R103,13.0,1292.68,14,1213.73,14,1213.73,14,1217.59,14,1213.62,14,1215.59,14,1213.62,14,1213.62,14,1214.70,13,1297.21,13,1301.71,13,13.80,0.400,1297.21,1231.51,34.01,0.80,-4.73,75.27,17.88
R104,9.0,1007.31,10,993.89,10,982.55,10,981.23,10,993.83,10,995.70,10,992.18,10,996.02,10,987.87,10,997.25,10,987.59,10,10.00,0.000,981.23,990.81,5.40,1.00,-1.64,98.36,16.64
R105,14.0,1377.11,14,1381.16,14,1377.63,14,1381.23,14,1388.25,14,1387.14,14,1377.11,14,1381.37,14,1377.11,14,1382.83,14,1387.14,14,14.00,0.000,1377.11,1382.10,4.01,0.00,0.36,0.36,12.38
R106,12.0,1252.03,12,1262.86,12,1262.86,12,1258.90,12,1261.67,12,1263.61,12,1278.12,12,1261.65,12,1258.48,12,1262.25,13,1239.37,12,12.10,0.300,1258.48,1260.98,8.88,0.10,0.71,10.71,17.14
R107,10.0,1104.66,11,1075.01,11,1076.65,11,1074.31,11,1075.45,11,1076.76,11,1072.12,11,1072.12,11,1075.45,11,1074.92,11,1075.45,11,11.00,0.000,1072.12,1074.82,1.52,1.00,-2.70,97.30,16.68
R108,9.0,960.88,10,952.11,10,946.42,10,952.93,10,947.66,10,971.27,9,964.77,10,952.87,10,954.38,10,946.42,10,952.76,9,9.90,0.300,964.77,954.16,7.59,0.90,-0.70,89.30,16.05
R109,11.0,1194.73,12,1153.89,12,1165.32,12,1162.50,12,1154.55,12,1153.02,12,1159.93,12,1167.06,12,1163.42,12,1153.89,12,1158.32,12,12.00,0.000,1153.02,1159.19,4.95,1.00,-2.97,97.03,13.24
R110,10.0,1118.84,11,1105.25,11,1080.64,11,1095.49,11,1086.56,11,1084.40,11,1087.08,11,1090.05,11,1107.24,11,1082.79,11,1096.99,11,11.00,0.000,1080.64,1091.65,8.79,1.00,-2.43,97.57,16.04
R111,10.0,1096.73,11,1054.22,11,1054.23,11,1054.23,11,1054.23,11,1054.22,11,1054.23,11,1054.23,11,1054.22,11,1054.22,11,1054.22,11,11.00,0.000,1054.22,1054.22,0.00,1.00,-3.88,96.12,15.99
R112,9.0,982.14,10,953.68,10,974.57,10,962.93,10,974.82,10,975.59,10,977.92,10,970.01,10,966.91,10,964.06,10,973.28,10,10.00,0.000,953.68,969.38,7.11,1.00,-1.30,98.70,15.86
R201,4.0,1252.37,4,1276.53,4,1261.09,4,1252.37,4,1252.37,4,1265.34,4,1271.23,4,1255.33,4,1253.23,4,1267.68,4,1253.23,4,4.00,0.000,1252.37,1260.84,8.43,0.00,0.68,0.68,11.17
R202,3.0,1191.7,4,1087.29,4,1087.81,4,1096.45,4,1082.46,4,1082.46,4,1084.38,4,1083.87,4,1094.06,4,1092.46,4,1081.32,4,4.00,0.000,1081.32,1087.26,5.09,1.00,-8.76,91.24,13.81
R203,3.0,939.5,3,952.23,3,964.46,3,950.44,3,967.40,3,960.76,3,958.16,3,946.62,3,952.38,3,962.30,3,971.95,3,3.00,0.000,946.62,958.67,7.73,0.00,2.04,2.04,15.05
R204,2.0,825.52,3,749.42,3,755.40,3,758.58,3,763.76,3,755.72,3,759.42,3,774.47,3,761.20,3,768.76,3,753.62,3,3.00,0.000,749.42,760.03,7.05,1.00,-7.93,92.07,15.30
R205,3.0,994.43,3,1028.60,3,1054.04,3,1016.85,3,1065.97,3,1033.89,3,1008.95,3,1032.39,3,1052.58,3,1034.64,3,1008.48,3,3.00,0.000,1008.48,1033.64,18.36,0.00,3.94,3.94,12.28
