Instancia,Opt_Veh,Opt_Dist,CLASSIC_BestVeh,CLASSIC_StdVeh,CLASSIC_BestDist,CLASSIC_StdDist,CLASSIC_AvgTime,CLASSIC_UnifiedGAP,QLEARNING_BestVeh,QLEARNING_StdVeh,QLEARNING_BestDist,QLEARNING_StdDist,QLEARNING_AvgTime,QLEARNING_UnifiedGAP
C101,10.0,828.94,10.0,0.000,828.94,0.00,16.07,-0.00,10.0,0.000,828.94,0.00,16.72,-0.00
C102,10.0,828.94,10.0,0.000,828.94,0.00,17.09,-0.00,10.0,0.000,828.94,0.00,16.49,-0.00
C103,10.0,828.06,10.0,0.000,828.07,0.00,18.65,0.00,10.0,0.000,828.07,0.00,19.71,0.00
C104,10.0,824.78,10.0,0.000,824.78,0.00,19.73,-0.00,10.0,0.000,824.78,0.00,23.82,-0.00
C105,10.0,828.94,10.0,0.000,828.94,0.00,17.93,-0.00,10.0,0.000,828.94,0.00,21.08,-0.00
C106,10.0,828.94,10.0,0.000,828.94,0.00,19.86,-0.00,10.0,0.000,828.94,0.00,24.35,-0.00
C107,10.0,828.94,10.0,0.000,828.94,0.00,18.82,-0.00,10.0,0.000,828.94,0.00,25.10,-0.00
C108,10.0,828.94,10.0,0.000,828.94,0.00,20.53,-0.00,10.0,0.000,828.94,0.00,24.57,-0.00
C109,10.0,828.94,10.0,0.000,828.94,0.00,20.32,-0.00,10.0,0.000,828.94,0.00,23.75,-0.00
C201,3.0,591.56,3.0,0.000,591.56,0.00,18.25,-0.00,3.0,0.000,591.56,0.00,19.00,-0.00
C202,3.0,591.56,3.0,0.000,591.56,0.00,20.63,-0.00,3.0,0.000,591.56,0.00,19.92,-0.00
C203,3.0,591.17,3.0,0.000,591.17,0.00,21.58,0.00,3.0,0.000,591.17,0.00,22.43,0.00
C204,3.0,590.6,3.0,0.000,590.60,23.86,22.26,1.35,3.0,0.000,590.60,0.00,21.82,-0.00
C205,3.0,588.88,3.0,0.000,588.88,0.00,15.39,-0.00,3.0,0.000,588.88,0.00,14.63,-0.00
C206,3.0,588.49,3.0,0.000,588.49,0.00,16.19,0.00,3.0,0.000,588.49,0.00,14.96,0.00
C207,3.0,588.29,3.0,0.000,588.29,0.00,16.73,-0.00,3.0,0.000,588.29,0.00,15.69,-0.00
C208,3.0,588.32,3.0,0.000,588.32,0.00,15.93,0.00,3.0,0.000,588.32,0.00,30.52,0.00
R101,19.0,1650.8,19.0,0.000,1650.80,1.04,90.48,0.03,19.0,0.000,1650.80,0.96,46.57,0.04
R102,17.0,1486.12,17.0,0.000,1486.12,0.79,28.08,0.06,17.0,0.000,1486.12,2.33,29.81,0.23
R103,13.0,1292.68,13.0,0.300,1294.75,24.17,25.39,84.57,13.0,0.490,1347.58,74.40,31.10,58.80
R104,9.0,1007.31,10.0,0.000,981.23,6.67,24.90,97.91,10.0,0.000,981.23,4.97,28.11,97.99
