iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,15,1579.28,15,1579.28,1,3,33,272.437,1,4.2,1,1,1,1,1,4.2
1,15,1371.91,15,1371.91,3,3,33,272.301,1,4.2,1,4.2,1,1,1,7.08
2,13,1660.79,13,1660.79,1,3,33,272.164,1,7.08,1,4.2,1,1,1,9.672
3,12,1207.83,12,1207.83,2,1,33,272.028,1,7.08,4.2,4.2,1,4.2,1,9.672
4,12,1058.75,12,1058.75,2,2,33,271.892,1,7.08,7.08,4.2,1,4.2,4.2,9.672
5,12,1058.75,12,1073.55,1,3,9,271.756,1,7.272,7.08,4.2,1,4.2,4.2,9.6048
6,11,990.579,11,990.579,2,3,33,271.62,1,7.272,9.672,4.2,1,4.2,4.2,11.9443
7,11,990.579,11,990.579,2,1,13,271.485,1,7.272,10.0048,4.2,1,5.08,4.2,11.9443
8,11,990.579,11,1068.96,2,0,9,271.349,1,7.272,9.90432,4.2,1.8,5.08,4.2,11.9443
9,11,990.579,11,1068.96,2,3,9,271.213,1,7.272,9.81389,4.2,1.8,5.08,4.2,11.6499
10,11,990.579,11,1031.14,3,0,13,271.078,1,7.272,9.81389,5.08,2.92,5.08,4.2,11.6499
11,11,990.579,11,1031.14,2,3,0,270.942,1,7.272,8.8325,5.08,2.92,5.08,4.2,10.4849
12,11,990.579,11,1031.14,1,2,0,270.807,1,6.5448,8.8325,5.08,2.92,5.08,3.78,10.4849
13,11,990.579,11,1177.91,1,3,9,270.671,1,6.79032,8.8325,5.08,2.92,5.08,3.78,10.3364
14,11,990.579,11,1175.4,3,2,13,270.536,1,6.79032,8.8325,5.872,2.92,5.08,4.702,10.3364
15,11,990.579,11,1175.4,1,3,0,270.401,1,6.11129,8.8325,5.872,2.92,5.08,4.702,9.30277
16,11,990.579,11,1107.5,2,1,13,270.265,1,6.11129,9.24925,5.872,2.92,5.872,4.702,9.30277
17,11,990.579,11,1102.48,3,0,13,270.13,1,6.11129,9.24925,6.5848,3.928,5.872,4.702,9.30277
18,11,990.579,11,1102.48,1,1,0,269.995,1,5.50016,9.24925,6.5848,3.928,5.2848,4.702,9.30277
19,11,990.579,11,1102.48,3,1,9,269.86,1,5.50016,9.24925,6.82632,3.928,5.65632,4.702,9.30277
20,11,990.579,11,1037.61,2,1,13,269.725,1,5.50016,9.62432,6.82632,3.928,6.39069,4.702,9.30277
21,11,990.579,11,1057.95,2,2,9,269.59,1,5.50016,9.56189,6.82632,3.928,6.39069,5.1318,9.30277
22,11,990.579,11,1044.42,3,2,13,269.456,1,5.50016,9.56189,7.44369,3.928,6.39069,5.91862,9.30277
23,11,990.579,11,1043.44,2,2,13,269.321,1,5.50016,9.9057,7.44369,3.928,6.39069,6.62676,9.30277
24,11,990.579,11,1053.36,1,1,9,269.186,1,5.85014,9.9057,7.44369,3.928,6.65162,6.62676,9.30277
25,11,990.579,11,1034.7,2,1,13,269.052,1,5.85014,10.2151,7.44369,3.928,7.28646,6.62676,9.30277
26,11,990.579,11,1049.4,1,3,9,268.917,1,6.16513,10.2151,7.44369,3.928,7.28646,6.62676,9.27249
27,11,990.579,11,1053.7,1,3,9,268.783,1,6.44862,10.2151,7.44369,3.928,7.28646,6.62676,9.24524
28,11,990.579,11,1027.58,2,1,13,268.648,1,6.44862,10.4936,7.44369,3.928,7.85781,6.62676,9.24524
29,11,990.579,11,1027.58,2,3,0,268.514,1,6.44862,9.44426,7.44369,3.928,7.85781,6.62676,8.32072
30,11,990.579,11,1008,3,1,13,268.38,1,6.44862,9.44426,7.99932,3.928,8.37203,6.62676,8.32072
31,11,990.579,11,1008,3,3,9,268.246,1,6.44862,9.44426,8.09939,3.928,8.37203,6.62676,8.38865
32,11,990.579,11,1008,2,3,0,268.111,1,6.44862,8.49983,8.09939,3.928,8.37203,6.62676,7.54978
33,11,990.579,11,1022.24,3,0,9,267.977,1,6.44862,8.49983,8.18945,4.4352,8.37203,6.62676,7.54978
34,11,990.579,11,1022.24,1,1,0,267.843,1,5.80375,8.49983,8.18945,4.4352,7.53483,6.62676,7.54978
35,11,990.579,11,1022.24,2,3,0,267.709,1,5.80375,7.64985,8.18945,4.4352,7.53483,6.62676,6.7948
36,11,990.579,11,1022.24,3,2,9,267.576,1,5.80375,7.64985,8.2705,4.4352,7.53483,6.86408,6.7948
37,11,990.579,11,1022.24,2,3,0,267.442,1,5.80375,6.88486,8.2705,4.4352,7.53483,6.86408,6.11532
38,11,990.579,11,1022.24,2,3,0,267.308,1,5.80375,6.19638,8.2705,4.4352,7.53483,6.86408,5.50379
39,11,990.579,11,1022.24,1,1,0,267.174,1,5.22338,6.19638,8.2705,4.4352,6.78134,6.86408,5.50379
40,11,990.579,11,1022.24,2,1,9,267.041,1,5.22338,6.47674,8.2705,4.4352,7.00321,6.86408,5.50379
41,11,990.579,11,1098.28,1,1,9,266.907,1,5.60104,6.47674,8.2705,4.4352,7.20289,6.86408,5.50379
42,11,990.579,11,1011.17,2,1,13,266.774,1,5.60104,7.12907,8.2705,4.4352,7.7826,6.86408,5.50379
43,11,990.579,11,1020.55,1,3,9,266.64,1,5.94094,7.12907,8.2705,4.4352,7.7826,6.86408,5.85341
44,11,990.579,11,1020.55,3,3,9,266.507,1,5.94094,7.12907,8.34345,4.4352,7.7826,6.86408,6.16807
