iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,32,2384.68,32,2384.68,1,3,33,378.454,1,4.2,1,1,1,1,1,4.2
1,28,2219.94,28,2219.94,1,0,33,378.265,1,7.08,1,1,4.2,1,1,4.2
2,26,2147.95,26,2147.95,1,3,33,378.076,1,9.672,1,1,4.2,1,1,7.08
3,25,2244.93,25,2244.93,1,0,33,377.887,1,12.0048,1,1,7.08,1,1,7.08
4,24,2175.94,24,2175.94,1,0,33,377.698,1,14.1043,1,1,9.672,1,1,7.08
5,24,2175.94,24,2187.23,2,0,9,377.509,1,14.1043,1.8,1,9.6048,1,1,7.08
6,24,2133.33,24,2133.33,2,2,33,377.32,1,14.1043,4.92,1,9.6048,1,4.2,7.08
7,23,2115.24,23,2115.24,1,3,33,377.132,1,15.9939,4.92,1,9.6048,1,4.2,9.672
8,23,2115.24,23,2120.98,1,0,9,376.943,1,15.2945,4.92,1,9.54432,1,4.2,9.672
9,23,2115.24,23,2124.39,1,0,9,376.755,1,14.665,4.92,1,9.48989,1,4.2,9.672
10,23,2001.06,23,2001.06,2,2,33,376.566,1,14.665,7.728,1,9.48989,1,7.08,9.672
11,23,2001.06,23,2077.08,1,3,9,376.378,1,14.0985,7.728,1,9.48989,1,7.08,9.6048
12,23,2001.06,23,2111.59,1,2,9,376.19,1,13.5887,7.728,1,9.48989,1,7.272,9.6048
13,23,2001.06,23,2111.59,1,3,0,376.002,1,12.2298,7.728,1,9.48989,1,7.272,8.64432
14,23,2001.06,23,2111.59,0,2,0,375.814,0.9,12.2298,7.728,1,9.48989,1,6.5448,8.64432
15,23,2001.06,23,2163.61,1,0,9,375.626,0.9,11.9068,7.728,1,9.4409,1,6.5448,8.64432
16,23,2001.06,23,2163.61,2,3,0,375.438,0.9,11.9068,6.9552,1,9.4409,1,6.5448,7.77989
17,23,2001.06,23,2163.61,3,0,0,375.25,0.9,11.9068,6.9552,0.9,8.49681,1,6.5448,7.77989
18,23,2001.06,23,2079.19,0,0,13,375.063,2.11,11.9068,6.9552,0.9,8.94713,1,6.5448,7.77989
19,23,2001.06,23,2065.75,1,3,13,374.875,2.11,12.0162,6.9552,0.9,8.94713,1,6.5448,8.3019
20,23,2001.06,23,2038.3,1,2,13,374.688,2.11,12.1145,6.9552,0.9,8.94713,1,7.19032,8.3019
21,23,2001.06,23,2140.1,1,0,9,374.5,2.11,11.8031,6.9552,0.9,8.95242,1,7.19032,8.3019
22,22,1938.2,22,1938.2,3,1,33,374.313,2.11,11.8031,6.9552,4.11,8.95242,4.2,7.19032,8.3019
23,22,1938.2,22,1985.31,3,3,9,374.126,2.11,11.8031,6.9552,4.599,8.95242,4.2,7.19032,8.37171
