iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,7,1242.62,7,1242.62,2,3,33,206.235,1,1,4.2,1,1,1,1,4.2
1,7,1221.4,7,1221.4,2,3,33,206.132,1,1,7.08,1,1,1,1,7.08
2,7,1133.03,7,1133.03,2,1,33,206.029,1,1,9.672,1,1,4.2,1,7.08
3,7,1109.07,7,1109.07,2,1,33,205.926,1,1,12.0048,1,1,7.08,1,7.08
4,7,1042.54,7,1042.54,2,1,33,205.823,1,1,14.1043,1,1,9.672,1,7.08
5,7,1042.54,7,1066.15,2,3,9,205.72,1,1,13.5939,1,1,9.672,1,7.272
6,7,1014.23,7,1014.23,2,1,33,205.617,1,1,15.5345,1,1,12.0048,1,7.272
7,7,1002.53,7,1002.53,2,1,33,205.514,1,1,17.281,1,1,14.1043,1,7.272
8,7,1002.53,7,1004.04,2,1,9,205.412,1,1,16.4529,1,1,13.5939,1,7.272
9,7,969.614,7,969.614,2,1,33,205.309,1,1,18.1076,1,1,15.5345,1,7.272
10,7,969.614,7,969.614,2,1,0,205.206,1,1,16.2969,1,1,13.981,1,7.272
11,7,969.614,7,990.498,2,2,9,205.104,1,1,15.5672,1,1,13.981,1.8,7.272
12,6,1001.13,6,1001.13,2,3,33,205.001,1,1,17.3105,1,1,13.981,1.8,9.8448
13,6,975.559,6,975.559,2,1,33,204.899,1,1,18.8794,1,1,15.8829,1.8,9.8448
14,6,975.559,6,977.815,2,2,9,204.796,1,1,17.8915,1,1,15.8829,2.52,9.8448
15,6,975.559,6,977.745,0,1,13,204.694,2.2,1,17.8915,1,1,15.5946,2.52,9.8448
16,6,971.883,6,971.883,2,3,33,204.591,2.2,1,19.4023,1,1,15.5946,2.52,12.1603
17,6,971.883,6,971.883,2,3,0,204.489,2.2,1,17.4621,1,1,15.5946,2.52,10.9443
18,6,961.677,6,961.677,2,3,33,204.387,2.2,1,19.0159,1,1,15.5946,2.52,13.1499
19,6,961.677,6,1020.87,2,3,9,204.285,2.2,1,18.0143,1,1,15.5946,2.52,12.7349
20,6,961.677,6,1010.91,2,2,13,204.182,2.2,1,17.5129,1,1,15.5946,3.568,12.7349
21,6,961.677,6,976.676,2,1,13,204.08,2.2,1,17.0616,1,1,15.3352,3.568,12.7349
22,6,961.677,6,976.676,2,0,9,203.978,2.2,1,16.2554,1,1.8,15.3352,3.568,12.7349
23,6,961.677,6,976.676,2,2,0,203.876,2.2,1,14.6299,1,1.8,15.3352,3.2112,12.7349
24,5,920.278,5,920.278,2,1,33,203.774,2.2,1,16.4669,1,1.8,17.1017,3.2112,12.7349
25,5,920.278,5,931.644,2,1,9,203.673,2.2,1,15.7202,1,1.8,16.2915,3.2112,12.7349
26,4,1132.53,4,1132.53,1,3,33,203.571,2.2,4.2,15.7202,1,1.8,16.2915,3.2112,14.7614
27,4,1031.59,4,1031.59,2,3,33,203.469,2.2,4.2,17.4482,1,1.8,16.2915,3.2112,16.5852
28,4,1008.64,4,1008.64,2,0,33,203.367,2.2,4.2,19.0034,1,4.92,16.2915,3.2112,16.5852
29,4,1008.64,4,1008.64,2,1,13,203.265,2.2,4.2,18.403,1,4.92,15.9623,3.2112,16.5852
30,4,1008.64,4,1013.91,2,3,9,203.164,2.2,4.2,17.4627,1,4.92,15.9623,3.2112,15.8267
31,4,1005.44,4,1005.44,2,3,33,203.062,2.2,4.2,19.0165,1,4.92,15.9623,3.2112,17.5441
32,4,1005.44,4,1179.51,1,0,9,202.961,2.2,4.68,19.0165,1,5.328,15.9623,3.2112,17.5441
33,4,1005.44,4,1149.36,2,1,13,202.859,2.2,4.68,18.4148,1,5.328,15.6661,3.2112,17.5441
34,3,1046.03,3,1046.03,2,1,33,202.758,2.2,4.68,19.8733,1,5.328,17.3995,3.2112,17.5441
35,3,1020.54,3,1020.54,2,0,33,202.656,2.2,4.68,21.186,1,8.0952,17.3995,3.2112,17.5441
36,3,1020.54,3,1020.54,2,0,0,202.555,2.2,4.68,19.0674,1,7.28568,17.3995,3.2112,17.5441
37,3,1020.54,3,1020.54,2,0,0,202.454,2.2,4.68,17.1607,1,6.55711,17.3995,3.2112,17.5441
38,3,1005.88,3,1005.88,0,1,33,202.353,5.28,4.68,17.1607,1,6.55711,18.9596,3.2112,17.5441
39,3,1005.88,3,1005.88,2,3,0,202.251,5.28,4.68,15.4446,1,6.55711,18.9596,3.2112,15.7896
40,3,1005.88,3,1005.88,1,1,0,202.15,5.28,4.212,15.4446,1,6.55711,17.0636,3.2112,15.7896
41,3,996.532,3,996.532,0,1,33,202.049,8.052,4.212,15.4446,1,6.55711,18.6572,3.2112,15.7896
42,3,996.532,3,996.532,2,1,0,201.948,8.052,4.212,13.9001,1,6.55711,16.7915,3.2112,15.7896
43,3,993.442,3,993.442,0,1,33,201.847,10.5468,4.212,13.9001,1,6.55711,18.4124,3.2112,15.7896
44,3,989.721,3,989.721,2,1,33,201.746,10.5468,4.212,15.8101,1,6.55711,19.8711,3.2112,15.7896
45,3,989.721,3,989.783,2,1,9,201.645,10.5468,4.212,15.1291,1,6.55711,18.784,3.2112,15.7896
46,3,989.721,3,993.603,2,0,9,201.545,10.5468,4.212,14.5162,1,6.8014,18.784,3.2112,15.7896
47,3,989.721,3,993.603,1,2,0,201.444,10.5468,3.7908,14.5162,1,6.8014,18.784,2.89008,15.7896
48,3,989.721,3,993.603,2,3,0,201.343,10.5468,3.7908,13.0646,1,6.8014,18.784,2.89008,14.2107
49,3,989.721,3,993.603,0,0,0,201.242,9.49212,3.7908,13.0646,1,6.12126,18.784,2.89008,14.2107
50,3,976.955,3,976.955,0,1,33,201.142,11.8429,3.7908,13.0646,1,6.12126,20.2056,2.89008,14.2107
51,3,932.094,3,932.094,2,1,33,201.041,11.8429,3.7908,15.0581,1,6.12126,21.4851,2.89008,14.2107
52,3,932.094,3,974.373,0,3,9,200.941,11.5586,3.7908,15.0581,1,6.12126,21.4851,2.89008,13.6896
53,3,932.094,3,964.846,0,0,13,200.84,11.7028,3.7908,15.0581,1,6.80913,21.4851,2.89008,13.6896
54,3,928.568,3,928.568,0,1,33,200.74,13.8325,3.7908,15.0581,1,6.80913,22.6365,2.89008,13.6896
55,3,910.115,3,910.115,0,1,33,200.639,15.7492,3.7908,15.0581,1,6.80913,23.6729,2.89008,13.6896
56,3,905.593,3,905.593,0,0,33,200.539,17.4743,3.7908,15.0581,1,9.42822,23.6729,2.89008,13.6896
57,3,897.685,3,897.685,0,1,33,200.439,19.0269,3.7908,15.0581,1,9.42822,24.6056,2.89008,13.6896
58,3,897.685,3,897.685,2,1,13,200.339,19.0269,3.7908,14.8523,1,9.42822,23.445,2.89008,13.6896
