iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,5,1147.9,5,1147.9,2,0,33,201.259,1,1,4.2,1,4.2,1,1,1
1,5,1040.24,5,1040.24,2,3,33,201.158,1,1,7.08,1,4.2,1,1,4.2
2,5,1040.24,5,1040.31,2,3,9,201.058,1,1,7.272,1,4.2,1,1,4.68
3,5,1040.24,5,1046.36,2,0,9,200.957,1,1,7.4448,1,4.68,1,1,4.68
4,5,1009.91,5,1009.91,0,2,33,200.857,4.2,1,7.4448,1,4.68,1,4.2,4.68
5,4,1201.14,4,1201.14,1,0,33,200.756,4.2,4.2,7.4448,1,7.512,1,4.2,4.68
6,4,1123.72,4,1123.72,2,0,33,200.656,4.2,4.2,10.0003,1,10.0608,1,4.2,4.68
7,4,1056.74,4,1056.74,2,0,33,200.556,4.2,4.2,12.3003,1,12.3547,1,4.2,4.68
8,4,1056.74,4,1056.74,1,2,0,200.455,4.2,3.78,12.3003,1,12.3547,1,3.78,4.68
9,4,975.509,4,975.509,2,3,33,200.355,4.2,3.78,14.3703,1,12.3547,1,3.78,7.512
10,4,960.17,4,960.17,2,0,33,200.255,4.2,3.78,16.2332,1,14.4192,1,3.78,7.512
11,4,960.17,4,1337.2,1,0,9,200.155,4.2,4.302,16.2332,1,13.8773,1,3.78,7.512
12,4,960.17,4,1324.53,0,0,13,200.055,5.08,4.302,16.2332,1,13.7896,1,3.78,7.512
13,4,960.17,4,1324.53,3,0,0,199.955,5.08,4.302,16.2332,0.9,12.4106,1,3.78,7.512
14,4,960.17,4,1315.01,2,0,13,199.855,5.08,4.302,15.9099,0.9,12.4696,1,3.78,7.512
15,4,960.17,4,1297.78,2,0,13,199.755,5.08,4.302,15.6189,0.9,12.5226,1,3.78,7.512
16,3,1445.95,3,1445.95,1,0,33,199.655,5.08,7.1718,15.6189,0.9,14.5704,1,3.78,7.512
17,3,1445.95,3,1445.95,1,0,0,199.555,5.08,6.45462,15.6189,0.9,13.1133,1,3.78,7.512
18,3,1445.95,3,1445.95,2,0,0,199.455,5.08,6.45462,14.057,0.9,11.802,1,3.78,7.512
19,3,1445.95,3,1445.95,2,3,0,199.356,5.08,6.45462,12.6513,0.9,11.802,1,3.78,6.7608
20,3,1445.95,3,1445.95,2,0,0,199.256,5.08,6.45462,11.3862,0.9,10.6218,1,3.78,6.7608
21,3,1445.95,3,1445.95,1,2,0,199.156,5.08,5.80916,11.3862,0.9,10.6218,1,3.402,6.7608
22,3,1445.95,3,1445.95,2,0,0,199.057,5.08,5.80916,10.2476,0.9,9.55961,1,3.402,6.7608
23,3,1445.95,3,1445.95,2,2,0,198.957,5.08,5.80916,9.22282,0.9,9.55961,1,3.0618,6.7608
24,3,1445.95,3,1445.95,3,3,0,198.858,5.08,5.80916,9.22282,0.81,9.55961,1,3.0618,6.08472
25,3,1350.58,3,1350.58,2,3,33,198.758,5.08,5.80916,11.6005,0.81,9.55961,1,3.0618,8.77625
26,3,1339.81,3,1339.81,0,0,33,198.659,7.872,5.80916,11.6005,0.81,11.9036,1,3.0618,8.77625
27,3,1339.81,3,1339.81,0,0,0,198.56,7.0848,5.80916,11.6005,0.81,10.7133,1,3.0618,8.77625
28,3,1312.13,3,1312.13,0,0,33,198.46,9.67632,5.80916,11.6005,0.81,12.942,1,3.0618,8.77625
29,3,1266.6,3,1266.6,2,0,33,198.361,9.67632,5.80916,13.7405,0.81,14.9478,1,3.0618,8.77625
30,3,1266.6,3,1275.64,2,0,9,198.262,9.67632,5.80916,13.2664,0.81,14.353,1,3.0618,8.77625
31,3,1266.6,3,1275.64,2,0,0,198.163,9.67632,5.80916,11.9398,0.81,12.9177,1,3.0618,8.77625
32,3,1266.6,3,1275.64,0,0,0,198.064,8.70869,5.80916,11.9398,0.81,11.6259,1,3.0618,8.77625
33,3,1266.6,3,1275.64,1,3,0,197.965,8.70869,5.22824,11.9398,0.81,11.6259,1,3.0618,7.89862
34,3,1266.6,3,1275.64,0,0,0,197.866,7.83782,5.22824,11.9398,0.81,10.4633,1,3.0618,7.89862
35,3,1253.85,3,1253.85,0,2,33,197.767,10.354,5.22824,11.9398,0.81,10.4633,1,6.05562,7.89862
36,3,1227.75,3,1227.75,2,0,33,197.668,10.354,5.22824,14.0458,0.81,12.717,1,6.05562,7.89862
37,3,1227.75,3,1241.87,0,0,9,197.569,10.2186,5.22824,14.0458,0.81,12.3453,1,6.05562,7.89862
38,3,1227.75,3,1241.87,2,2,0,197.47,10.2186,5.22824,12.6412,0.81,12.3453,1,5.45006,7.89862
39,3,1227.75,3,1241.87,1,3,0,197.371,10.2186,4.70542,12.6412,0.81,12.3453,1,5.45006,7.10876
40,3,1227.75,3,1302.81,2,0,9,197.273,10.2186,4.70542,12.2771,0.81,12.0108,1,5.45006,7.10876
41,3,1227.75,3,1273.25,2,3,13,197.174,10.2186,4.70542,12.3494,0.81,12.0108,1,5.45006,7.69788
42,3,1227.75,3,1273.25,1,0,0,197.076,10.2186,4.23488,12.3494,0.81,10.8097,1,5.45006,7.69788
43,3,1227.75,3,1273.25,0,0,0,196.977,9.19677,4.23488,12.3494,0.81,9.72872,1,5.45006,7.69788
44,3,1198.95,3,1198.95,0,2,33,196.878,11.5771,4.23488,12.3494,0.81,9.72872,1,8.20505,7.69788
45,3,1186.92,3,1186.92,0,0,33,196.78,13.7194,4.23488,12.3494,0.81,12.0558,1,8.20505,7.69788
46,3,1186.92,3,1186.92,1,0,0,196.682,13.7194,3.81139,12.3494,0.81,10.8503,1,8.20505,7.69788
47,3,1186.92,3,1297.38,1,0,9,196.583,13.7194,4.33025,12.3494,0.81,10.6652,1,8.20505,7.69788
48,3,1186.92,3,1297.38,1,0,0,196.485,13.7194,3.89722,12.3494,0.81,9.59871,1,8.20505,7.69788
49,3,1186.92,3,1316.01,0,0,9,196.387,13.2474,3.89722,12.3494,0.81,9.53884,1,8.20505,7.69788
50,3,1186.92,3,1272.87,0,2,13,196.289,13.2227,3.89722,12.3494,0.81,9.53884,1,8.68455,7.69788
51,3,1186.92,3,1196.8,0,2,13,196.19,13.2004,3.89722,12.3494,0.81,9.53884,1,9.11609,7.69788
52,3,1186.92,3,1206.13,2,2,9,196.092,13.2004,3.89722,12.0145,0.81,9.53884,1,9.10448,7.69788
53,3,1186.92,3,1206.13,0,0,0,195.994,11.8804,3.89722,12.0145,0.81,8.58496,1,9.10448,7.69788
54,3,1129.52,3,1129.52,2,2,33,195.896,11.8804,3.89722,14.113,0.81,8.58496,1,11.494,7.69788
55,3,1129.52,3,1129.52,2,2,0,195.798,11.8804,3.89722,12.7017,0.81,8.58496,1,10.3446,7.69788
56,3,1129.52,3,1129.52,2,3,0,195.7,11.8804,3.89722,11.4315,0.81,8.58496,1,10.3446,6.9281
57,3,1129.52,3,1129.52,1,2,0,195.603,11.8804,3.5075,11.4315,0.81,8.58496,1,9.31017,6.9281
