iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,18,1827.49,18,1827.49,3,1,33,307.516,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,17,1544.03,17,1544.03,2,3,33,307.362,0.21814,0.21814,0.21814,0.345581,0.21814,0.345581,0.21814,0.21814
2,17,1375.49,17,1375.49,2,1,33,307.208,0.191272,0.191272,0.31441,0.303045,0.191272,0.303045,0.191272,0.31441
3,17,1361.31,17,1361.31,3,1,33,307.055,0.162243,0.162243,0.418438,0.257076,0.162894,0.406423,0.162894,0.267789
4,17,1352.11,17,1352.11,3,1,33,306.901,0.139536,0.139536,0.359943,0.360984,0.132857,0.515855,0.132857,0.218431
5,16,1248.16,16,1248.16,2,1,33,306.748,0.116231,0.116231,0.299883,0.467654,0.103792,0.621752,0.103792,0.170663
6,15,1086.16,15,1086.16,2,1,33,306.594,0.0982023,0.0982023,0.408371,0.395224,0.0780754,0.715459,0.0780754,0.12839
7,14,1125.17,14,1125.17,2,1,33,306.441,0.0804256,0.0804256,0.515378,0.323771,0.0569915,0.792289,0.0569915,0.0937282
8,12,1160.42,12,1160.42,1,0,33,306.288,0.0632177,0.0632177,0.618997,0.254567,0.0407112,0.851618,0.0407112,0.0669601
9,12,1160.06,12,1160.06,3,1,33,306.135,0.059784,0.113764,0.585644,0.240808,0.078993,0.817683,0.0390651,0.0642593
10,12,1158.86,12,1158.86,2,1,33,305.982,0.0516151,0.0982318,0.505853,0.344301,0.0563101,0.870041,0.0278436,0.0458053
11,12,1048.52,12,1048.52,2,1,33,305.829,0.0409331,0.0779123,0.608005,0.27315,0.0396977,0.908385,0.0196265,0.0322906
12,12,1047.36,12,1047.36,3,1,33,305.676,0.0313393,0.059659,0.699793,0.209209,0.0278265,0.935784,0.0137555,0.0226335
13,12,1043.9,12,1043.9,3,1,33,305.523,0.0274135,0.0521925,0.612513,0.307881,0.0194706,0.95507,0.00962353,0.0158363
14,12,997.277,12,997.277,2,3,33,305.37,0.0231466,0.0440745,0.517498,0.415281,0.0136372,0.968532,0.00673939,0.0110913
15,11,1010.31,11,1010.31,3,1,33,305.217,0.0184487,0.0351335,0.615232,0.331186,0.0134404,0.95537,0.0066412,0.0245483
16,11,1000.45,11,1000.45,2,1,33,305.065,0.0154946,0.0295116,0.517081,0.437913,0.00947835,0.968525,0.0046828,0.0173139
17,11,909.478,11,909.478,2,1,33,304.912,0.0124102,0.0236399,0.612975,0.350975,0.0067036,0.977738,0.00331146,0.0122468
18,11,909.478,11,909.478,2,1,13,304.76,0.00963837,0.0183623,0.699233,0.272766,0.00476047,0.98419,0.00235125,0.00869792
19,11,848.937,11,848.937,2,1,33,304.607,0.00980323,0.0186788,0.693901,0.277617,0.00504725,0.983237,0.00249255,0.00922302
20,10,828.937,10,828.937,2,1,33,304.455,0.00743559,0.0141694,0.767686,0.210709,0.00359809,0.98805,0.00177664,0.0065757
21,10,828.937,10,828.937,2,1,13,304.303,0.00553253,0.0105442,0.827038,0.156885,0.0025785,0.991436,0.00127302,0.00471293
22,10,828.937,10,828.937,3,1,13,304.151,0.00571215,0.010888,0.821313,0.162087,0.00276848,0.990804,0.00136662,0.00506077
23,10,828.937,10,828.937,2,1,13,303.999,0.00558814,0.010653,0.804281,0.179478,0.00296811,0.990141,0.00146495,0.00542635
24,10,828.937,10,828.937,2,1,0,303.847,0.00576072,0.0109834,0.798106,0.18515,0.00317757,0.989444,0.00156811,0.00581
25,10,828.937,10,828.937,2,1,13,303.695,0.00725469,0.0138336,0.745584,0.233328,0.00439664,0.985394,0.00216941,0.00803996
26,10,828.937,10,828.937,2,1,13,303.543,0.00742475,0.0141597,0.739452,0.238963,0.0046689,0.984489,0.00230342,0.00853885
27,10,828.937,10,828.937,2,1,13,303.391,0.00759377,0.0144839,0.73335,0.244573,0.0049518,0.983548,0.00244265,0.00905733
28,10,828.937,10,828.937,2,1,0,303.239,0.00776161,0.0148059,0.72728,0.250152,0.00524538,0.982572,0.0025871,0.00959549
29,10,828.937,10,828.937,2,1,0,303.088,0.00950586,0.0181356,0.665777,0.306581,0.00716892,0.97618,0.00353532,0.0131158
30,10,828.937,10,828.937,2,1,13,302.936,0.0113851,0.0217237,0.599445,0.367447,0.00971536,0.967717,0.00479041,0.0177768
31,10,828.937,10,828.937,3,1,13,302.785,0.011506,0.0219572,0.59493,0.371607,0.0101464,0.966284,0.00500224,0.0185678
32,10,828.937,10,828.937,2,1,13,302.633,0.0113753,0.0217106,0.588635,0.378279,0.0105867,0.964819,0.00521857,0.0193758
33,10,828.937,10,828.937,3,1,13,302.482,0.0114913,0.0219347,0.58417,0.382404,0.011036,0.963324,0.00543928,0.0202006
34,10,828.937,10,828.937,3,1,13,302.331,0.0113763,0.0217181,0.578781,0.388124,0.0114941,0.9618,0.00566424,0.0210416
35,10,828.937,10,828.937,3,1,13,302.18,0.0112717,0.0215211,0.573907,0.393301,0.0119607,0.960248,0.00589334,0.0218984
36,10,828.937,10,828.937,2,1,13,302.029,0.0111763,0.0213418,0.569501,0.397981,0.0124355,0.958668,0.00612642,0.0227705
37,10,828.937,10,828.937,2,1,13,301.878,0.011284,0.0215501,0.565065,0.4021,0.0129182,0.957061,0.00636336,0.0236573
38,10,828.937,10,828.937,2,1,13,301.727,0.0113894,0.0217544,0.560707,0.406149,0.0134086,0.955429,0.006604,0.0245584
39,10,828.937,10,828.937,2,1,13,301.576,0.0114928,0.0219546,0.556426,0.410127,0.0139064,0.953772,0.00684819,0.0254732
40,10,828.937,10,828.937,2,1,0,301.425,0.011594,0.0221508,0.552221,0.414035,0.0144112,0.952092,0.00709578,0.0264011
41,10,828.937,10,828.937,2,1,13,301.274,0.0133848,0.0255755,0.482712,0.478328,0.0191111,0.936465,0.00940856,0.0350154
42,10,828.937,10,828.937,3,1,13,301.124,0.0134479,0.0256995,0.479925,0.480928,0.0196687,0.934608,0.0096817,0.0360414
43,10,828.937,10,828.937,2,1,13,300.973,0.0135099,0.0258213,0.482483,0.478186,0.0202297,0.93274,0.00995644,0.0370739
44,10,828.937,10,828.937,2,1,13,300.823,0.0135722,0.0259437,0.47975,0.480734,0.0207938,0.930861,0.0102326,0.0381123
45,10,828.937,10,828.937,0,1,13,300.672,0.0136319,0.0260612,0.477114,0.483193,0.0213607,0.928973,0.0105101,0.039156
46,10,828.937,10,828.937,0,1,13,300.522,0.0191473,0.0259008,0.474453,0.480499,0.0219299,0.927077,0.0107886,0.0402044
47,10,828.937,10,828.937,2,1,13,300.372,0.0259477,0.0257066,0.47117,0.477176,0.0225012,0.925174,0.0110681,0.0412567
48,10,828.937,10,828.937,3,1,13,300.221,0.0260502,0.0258081,0.468803,0.479339,0.0230743,0.923265,0.0113484,0.0423126
49,10,828.937,10,828.937,3,1,13,300.071,0.0261709,0.0259277,0.471248,0.476653,0.0236487,0.921351,0.0116293,0.0433712
50,10,828.937,10,828.937,2,1,13,299.921,0.0262888,0.0260444,0.473645,0.474021,0.0242242,0.919433,0.0119106,0.0444321
51,10,828.937,10,828.937,2,1,13,299.771,0.0264028,0.0261573,0.471087,0.476353,0.0248005,0.917513,0.0121922,0.0454946
52,10,828.937,10,828.937,2,1,0,299.621,0.0265039,0.0262574,0.468786,0.478453,0.0253772,0.915591,0.0124739,0.0465582
53,10,828.937,10,828.937,3,1,13,299.472,0.0298081,0.0295308,0.40225,0.538411,0.0329004,0.890562,0.0161696,0.0603679
54,10,828.937,10,828.937,3,1,13,299.322,0.0299596,0.0296808,0.404505,0.535855,0.0334575,0.888704,0.016441,0.0613975
55,10,828.937,10,828.937,2,1,0,299.172,0.0301077,0.0298276,0.406717,0.533347,0.0340112,0.886857,0.0167108,0.0624213
56,10,828.937,10,828.937,3,1,13,299.023,0.0330189,0.0327115,0.349016,0.585253,0.0434527,0.855442,0.0213467,0.0797591
57,10,828.937,10,828.937,2,1,13,298.873,0.0331957,0.0328866,0.351051,0.582867,0.0439208,0.853878,0.0215735,0.0806281
58,10,828.937,10,828.937,3,1,13,298.724,0.0326998,0.0323953,0.360416,0.574489,0.0443834,0.852332,0.0217976,0.0814871
59,10,828.937,10,828.937,2,1,0,298.574,0.0328676,0.0325615,0.36244,0.572131,0.0448403,0.850805,0.0220189,0.0823359
60,10,828.937,10,828.937,2,1,13,298.425,0.0354622,0.0351318,0.311758,0.617648,0.0563676,0.812442,0.0276755,0.103515
61,10,828.937,10,828.937,0,1,13,298.276,0.0347884,0.0344643,0.324488,0.606259,0.0566577,0.811468,0.0278139,0.10406
