iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,0,36,2528.87,36,2528.87,3,3,33,378.454,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,0,32,2308.52,32,2308.52,0,3,33,378.265,0.21814,0.21814,0.21814,0.345581,0.21814,0.21814,0.21814,0.345581
2,0,28,2062.14,28,2062.14,2,1,33,378.076,0.31441,0.191272,0.191272,0.303045,0.182242,0.182242,0.182242,0.453275
3,0,26,1973.94,26,1973.94,3,2,33,377.887,0.279713,0.170148,0.280538,0.269601,0.161498,0.275249,0.161498,0.401754
4,0,25,1969.21,25,1969.21,0,3,33,377.698,0.242168,0.147294,0.242883,0.367655,0.144987,0.247134,0.247134,0.360745
5,0,25,1906.84,25,1906.84,3,3,33,377.509,0.34143,0.127986,0.211065,0.319519,0.120743,0.205832,0.205832,0.467594
6,0,23,2127.8,23,2127.8,1,3,33,377.32,0.289271,0.108413,0.178804,0.423512,0.0962895,0.164164,0.164164,0.575383
7,0,22,2024.62,22,2024.62,1,3,33,377.132,0.267051,0.176886,0.165054,0.39101,0.0737871,0.125813,0.125813,0.674588
8,0,22,1920.23,22,1920.23,2,3,33,376.943,0.238758,0.264078,0.147553,0.349611,0.0546988,0.0932757,0.0932757,0.75875
9,0,21,1906.4,21,1906.4,2,3,33,376.755,0.216934,0.239944,0.225444,0.317678,0.0395469,0.067445,0.067445,0.825563
10,0,21,1906.4,21,1934.73,1,3,9,376.566,0.191205,0.211491,0.31728,0.280023,0.028108,0.0479416,0.0479416,0.876009
11,0,21,1906.4,21,1934.73,1,3,0,376.378,0.191567,0.209944,0.317914,0.280575,0.0303512,0.0517733,0.0517733,0.866102
12,0,21,1906.4,21,1934.73,3,0,0,376.19,0.198733,0.180336,0.329839,0.291092,0.0380741,0.064954,0.064954,0.832018
13,0,21,1906.4,21,1934.73,0,3,0,376.002,0.210729,0.191217,0.349784,0.248269,0.0397846,0.0648099,0.0648099,0.830596
14,0,21,1895.28,21,1895.28,2,3,33,375.814,0.182387,0.19807,0.362363,0.25718,0.0491907,0.0801403,0.0801403,0.790529
15,0,21,1895.28,21,1914.51,3,3,9,375.626,0.152541,0.16566,0.46669,0.215109,0.0352552,0.0574425,0.0574425,0.84986
16,0,21,1895.28,21,1914.51,2,3,0,375.438,0.151897,0.164963,0.464823,0.218317,0.0378466,0.0616709,0.0616709,0.838812
17,0,21,1862.48,21,1862.48,2,3,33,375.25,0.168542,0.183044,0.406156,0.242258,0.0469532,0.0765175,0.0765175,0.800012
18,0,21,1862.48,21,1862.48,3,3,0,375.063,0.13848,0.150398,0.512059,0.199063,0.033563,0.0547014,0.0547014,0.857034
19,0,21,1862.48,21,1862.48,1,2,0,374.875,0.14237,0.154625,0.52658,0.176424,0.041957,0.0683888,0.0683888,0.821265
20,0,21,1861.76,21,1861.76,2,0,33,374.688,0.144892,0.139504,0.536048,0.179557,0.0419719,0.0684198,0.0675624,0.822046
21,0,21,1861.76,21,1917.71,2,3,9,374.5,0.113219,0.109007,0.637462,0.140312,0.0809611,0.0656073,0.064785,0.788647
22,0,21,1861.76,21,1887.19,0,1,13,374.313,0.118347,0.113944,0.621036,0.146674,0.0861928,0.0698439,0.0689683,0.774995
23,0,21,1861.76,21,1887.19,2,3,0,374.126,0.138049,0.11137,0.607213,0.143368,0.0845468,0.087276,0.0676482,0.760529
24,0,21,1861.76,21,1887.19,0,3,0,373.939,0.159463,0.12864,0.54629,0.165608,0.102327,0.105631,0.0818713,0.71017
25,0,21,1861.76,21,1887.19,2,3,0,373.752,0.143748,0.131019,0.556554,0.168679,0.12174,0.125671,0.0973988,0.65519
26,0,21,1861.76,21,1887.19,2,1,0,373.565,0.163528,0.149045,0.495532,0.191895,0.142315,0.146911,0.113855,0.596919
27,0,21,1861.76,21,1959.88,2,3,9,373.378,0.182881,0.166681,0.435826,0.214613,0.144395,0.134274,0.115514,0.605818
28,0,21,1861.76,21,2010.86,1,3,9,373.191,0.18721,0.170622,0.422469,0.219699,0.149981,0.139467,0.119977,0.590575
29,0,21,1861.76,21,2010.86,3,3,0,373.005,0.185997,0.175917,0.419802,0.218284,0.15552,0.144615,0.124403,0.575462
30,0,21,1861.76,21,1959.34,3,2,13,372.818,0.192528,0.182092,0.434613,0.190766,0.177478,0.165031,0.141961,0.51553
31,0,21,1844.92,21,1844.92,2,3,33,372.632,0.188368,0.178156,0.425291,0.208185,0.173389,0.161226,0.161627,0.503758
32,0,21,1844.92,21,1844.92,2,3,0,372.446,0.153365,0.145049,0.532084,0.169502,0.136716,0.127124,0.12744,0.60872
33,0,21,1844.92,21,1844.92,2,2,0,372.259,0.173267,0.163869,0.471362,0.191502,0.15763,0.146569,0.146933,0.548868
34,0,21,1841.52,21,1841.52,0,3,33,372.073,0.192515,0.182072,0.412632,0.212781,0.160047,0.148814,0.133717,0.557423
35,0,21,1841.52,21,1841.52,2,3,0,371.887,0.283569,0.161526,0.366129,0.188776,0.123686,0.115003,0.103334,0.657977
36,0,21,1841.52,21,1841.52,0,3,0,371.701,0.307022,0.174866,0.313741,0.204372,0.144711,0.13455,0.120895,0.599843
37,0,21,1841.52,21,1841.52,2,3,0,371.515,0.260925,0.186486,0.334629,0.21796,0.166366,0.154682,0.138981,0.539971
38,0,21,1841.52,21,1841.52,0,3,0,371.33,0.280139,0.200205,0.285653,0.234002,0.188013,0.174807,0.157059,0.480121
39,0,21,1841.52,21,1950.5,1,2,9,371.144,0.237471,0.212064,0.302595,0.24787,0.209042,0.194355,0.17462,0.421983
40,0,21,1841.52,21,1950.5,3,3,0,370.958,0.237862,0.210749,0.303108,0.248281,0.207587,0.193,0.180308,0.419105
41,0,21,1841.52,21,2076.67,1,2,9,370.773,0.24933,0.220904,0.317738,0.212028,0.227193,0.211225,0.197332,0.36425
42,0,21,1841.52,21,2076.67,0,3,0,370.588,0.249718,0.219685,0.318247,0.212351,0.226433,0.210516,0.199984,0.363067
43,0,21,1841.52,21,2078.62,1,0,9,370.402,0.214021,0.23013,0.333403,0.222446,0.244387,0.227204,0.215835,0.312574
44,0,21,1841.52,21,2078.62,1,2,0,370.217,0.214327,0.229,0.333908,0.222765,0.241541,0.228055,0.216641,0.313763
45,0,21,1841.52,21,2071.82,1,3,13,370.032,0.223046,0.197603,0.347523,0.231829,0.250697,0.236696,0.186934,0.325673
46,0,21,1841.52,21,2037.3,3,1,13,369.847,0.218791,0.212879,0.340923,0.227408,0.247354,0.233537,0.184431,0.334678
