iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,27,2102.33,27,2102.33,3,1,33,312.883,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,19,1680.13,19,1680.13,2,1,33,312.726,0.21814,0.21814,0.21814,0.345581,0.21814,0.345581,0.21814,0.21814
2,19,1662.02,19,1662.02,2,2,33,312.57,0.191272,0.191272,0.31441,0.303045,0.182242,0.453275,0.182242,0.182242
3,19,1585.51,19,1585.51,2,1,33,312.414,0.162243,0.162243,0.418438,0.257076,0.161498,0.401754,0.275249,0.161498
4,17,1563.7,17,1563.7,2,1,33,312.258,0.131654,0.131654,0.528064,0.208627,0.131994,0.511026,0.224987,0.131994
5,16,1568.42,16,1568.42,2,2,33,312.101,0.102365,0.102365,0.633041,0.162229,0.103326,0.617208,0.176141,0.103326
6,16,1568.42,16,1568.42,2,3,0,311.945,0.0766921,0.0766921,0.725063,0.121553,0.0914812,0.546651,0.270387,0.0914812
7,16,1568.42,16,1596.47,3,1,9,311.789,0.0910195,0.0910195,0.673686,0.144275,0.0919257,0.549503,0.271759,0.0868118
8,16,1568.42,16,1586.7,3,1,13,311.634,0.0897174,0.0897174,0.664314,0.156251,0.0947276,0.535712,0.280103,0.0894568
9,16,1551.43,16,1551.43,2,2,33,311.478,0.0872497,0.0872497,0.646301,0.1792,0.0934143,0.54209,0.27628,0.0882156
10,16,1467.14,16,1467.14,2,2,33,311.322,0.0651791,0.0651791,0.735753,0.133889,0.0794061,0.460962,0.384646,0.0749861
11,16,1467.14,16,1467.14,2,1,13,311.166,0.0473597,0.0473597,0.807982,0.0972987,0.0653386,0.379432,0.493529,0.061701
12,16,1467.14,16,1624.58,2,1,9,311.011,0.0472075,0.0472075,0.808585,0.0969999,0.0641709,0.390327,0.484905,0.0605976
13,16,1467.14,16,1599.57,2,2,13,310.855,0.0501884,0.0501884,0.796484,0.10314,0.0651168,0.381142,0.492251,0.0614901
14,15,1545.74,15,1545.74,2,2,33,310.7,0.0499712,0.0499712,0.797349,0.102708,0.0644636,0.377452,0.497212,0.0608726
15,15,1545.74,15,1554.96,2,1,9,310.544,0.0356947,0.0356947,0.855235,0.0733757,0.051147,0.299586,0.60097,0.0482973
16,15,1545.74,15,1554.96,2,0,0,310.389,0.0383025,0.0383025,0.844647,0.0787477,0.0511222,0.29963,0.600975,0.0482733
17,15,1519.64,15,1519.64,2,2,33,310.234,0.0475591,0.0475591,0.807089,0.0977928,0.0509325,0.299669,0.601137,0.048262
18,15,1508.48,15,1508.48,2,2,33,310.079,0.0338811,0.0338811,0.86256,0.0696777,0.0389584,0.229299,0.694827,0.0369154
19,15,1508.48,15,1523.99,2,1,9,309.924,0.0238396,0.0238396,0.903287,0.0490341,0.0289275,0.17032,0.773343,0.0274101
20,15,1465.98,15,1465.98,2,2,33,309.769,0.0258968,0.0258968,0.894933,0.053273,0.0285811,0.179752,0.764585,0.0270816
21,15,1452.35,15,1452.35,3,2,33,309.614,0.0181194,0.0181194,0.926482,0.0372794,0.0208226,0.131006,0.828442,0.01973
22,15,1452.35,15,1452.35,2,2,0,309.459,0.0174412,0.0174412,0.892506,0.0726114,0.0149356,0.094002,0.876911,0.0141517
23,15,1442.97,15,1442.97,2,2,33,309.304,0.0222798,0.0222798,0.862659,0.0927816,0.0190291,0.11981,0.843131,0.0180302
24,15,1437.38,15,1437.38,2,2,33,309.15,0.0157873,0.0157873,0.902662,0.0657631,0.0136046,0.0856883,0.887817,0.0128903
25,15,1437.38,15,1502.99,2,2,9,308.995,0.0111164,0.0111164,0.931448,0.0463193,0.00964887,0.0607954,0.920414,0.00914217
