iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,0,8,1471.22,8,1471.22,1,0,33,221.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,0,8,1449.45,8,1449.45,3,0,33,221.015,0.21814,0.345581,0.21814,0.21814,0.345581,0.21814,0.21814,0.21814
2,0,8,1394.37,8,1394.37,0,0,33,220.904,0.191272,0.303045,0.191272,0.31441,0.453275,0.182242,0.182242,0.182242
3,0,5,1345.28,5,1345.28,1,0,33,220.794,0.280538,0.269601,0.170148,0.279713,0.563354,0.145549,0.145549,0.145549
4,0,5,1235.32,5,1235.32,0,0,33,220.683,0.242883,0.367655,0.147294,0.242168,0.6656,0.111467,0.111467,0.111467
5,0,4,1293.54,4,1293.54,1,0,33,220.573,0.342239,0.319428,0.12795,0.210384,0.752766,0.0824112,0.0824112,0.0824112
6,0,4,1293.54,4,1338.48,1,0,9,220.463,0.289943,0.423461,0.108377,0.178219,0.822031,0.0593231,0.0593231,0.0593231
7,0,4,1293.54,4,1359.46,0,0,9,220.353,0.29573,0.411994,0.110518,0.181758,0.811238,0.0629205,0.0629205,0.0629205
8,0,4,1293.54,4,1302.63,1,0,13,220.242,0.292993,0.41363,0.110928,0.18245,0.800179,0.066607,0.066607,0.066607
9,0,4,1293.54,4,1302.63,1,0,0,220.132,0.28889,0.421879,0.109353,0.179878,0.801912,0.0660293,0.0660293,0.0660293
10,0,4,1293.54,4,1302.63,1,0,0,220.022,0.316012,0.367645,0.119596,0.196746,0.759226,0.0802581,0.0802581,0.0802581
11,0,4,1267.77,4,1267.77,0,0,33,219.912,0.341079,0.317531,0.129058,0.212332,0.711668,0.0961107,0.0961107,0.0961107
12,0,4,1267.77,4,1269.23,0,0,9,219.802,0.446023,0.266975,0.10849,0.178511,0.790005,0.0699984,0.0699984,0.0699984
13,0,4,1213.78,4,1213.78,3,0,33,219.692,0.434155,0.272712,0.110801,0.182332,0.778493,0.0738357,0.0738357,0.0738357
14,0,4,1207.26,4,1207.26,3,0,33,219.583,0.386095,0.242501,0.0985089,0.272895,0.841782,0.0527394,0.0527394,0.0527394
15,0,4,1207.26,4,1252.67,1,0,9,219.473,0.331949,0.208473,0.0846708,0.374907,0.888753,0.0370823,0.0370823,0.0370823
16,0,4,1207.26,4,1252.67,3,0,0,219.363,0.331345,0.209928,0.0844936,0.374234,0.880281,0.0399063,0.0399063,0.0399063
17,0,4,1183.07,4,1183.07,3,0,33,219.253,0.359011,0.227435,0.0915234,0.322031,0.849814,0.0500619,0.0500619,0.0500619
18,0,4,1157.3,4,1157.3,3,0,33,219.144,0.304109,0.192637,0.0775059,0.425748,0.89461,0.0351299,0.0351299,0.0351299
19,0,4,1149.2,4,1149.2,3,0,33,219.034,0.247802,0.156956,0.0631383,0.532103,0.926652,0.0244493,0.0244493,0.0244493
20,0,4,1149.2,4,1158.25,1,0,9,218.925,0.194022,0.122881,0.049422,0.633675,0.949127,0.0169575,0.0169575,0.0169575
21,0,4,1149.2,4,1155.48,3,0,13,218.815,0.191704,0.133226,0.0488181,0.626252,0.944087,0.0186375,0.0186375,0.0186375
22,0,4,1138.77,4,1138.77,3,0,33,218.706,0.190574,0.132431,0.0485171,0.628477,0.943158,0.0189473,0.0189473,0.0189473
23,0,4,1136.63,4,1136.63,0,0,33,218.596,0.144422,0.100353,0.0367575,0.718468,0.960596,0.0131345,0.0131345,0.0131345
24,0,4,1115.56,4,1115.56,3,0,33,218.487,0.228629,0.0904468,0.0331225,0.647802,0.972639,0.00912023,0.00912023,0.00912023
25,0,4,1115.56,4,1137.79,0,0,9,218.378,0.173005,0.0684292,0.0250544,0.733511,0.980937,0.00635447,0.00635447,0.00635447
26,0,4,1115.56,4,1138.48,3,0,9,218.269,0.181253,0.0677186,0.0247892,0.726239,0.97856,0.00714659,0.00714659,0.00714659
27,0,4,1115.56,4,1145.66,3,0,9,218.16,0.192987,0.072088,0.0263834,0.708542,0.975951,0.00801647,0.00801647,0.00801647
28,0,4,1115.56,4,1145.94,3,0,9,218.05,0.204913,0.0765278,0.0280027,0.690557,0.973093,0.00896901,0.00896901,0.00896901
29,0,4,1115.56,4,1139.31,0,0,13,217.941,0.21699,0.0810222,0.0296413,0.672347,0.969973,0.0100091,0.0100091,0.0100091
30,0,4,1114.95,4,1114.95,3,0,33,217.832,0.236417,0.0789838,0.0288897,0.655709,0.96908,0.0103067,0.0103067,0.0103067
31,0,4,1101.28,4,1101.28,3,0,33,217.724,0.17869,0.0596848,0.0218264,0.739799,0.978497,0.00716768,0.00716768,0.00716768
32,0,4,1101.28,4,1131.24,0,0,9,217.615,0.13179,0.04401,0.016091,0.808109,0.984983,0.00500581,0.00500581,0.00500581
33,0,4,1101.28,4,1130.01,3,0,13,217.506,0.141531,0.0434928,0.0158987,0.799078,0.983021,0.00565955,0.00565955,0.00565955
34,0,4,1097.55,4,1097.55,3,0,33,217.397,0.143535,0.0440983,0.0161167,0.79625,0.982311,0.00589642,0.00589642,0.00589642
35,0,4,1065.79,4,1065.79,3,0,33,217.288,0.104422,0.032074,0.0117198,0.851784,0.987616,0.00412806,0.00412806,0.00412806
36,0,4,1065.79,4,1079.41,3,0,9,217.18,0.075055,0.0230483,0.00842014,0.893477,0.991283,0.00290568,0.00290568,0.00290568
37,0,4,1065.79,4,1075.38,3,0,13,217.071,0.0829746,0.0254742,0.00930454,0.882247,0.990029,0.00332361,0.00332361,0.00332361
38,0,4,1065.79,4,1091.25,3,0,9,216.963,0.0852064,0.0261533,0.00955063,0.87909,0.989499,0.0035004,0.0035004,0.0035004
39,0,4,1065.79,4,1088.94,3,0,13,216.854,0.0938089,0.0287869,0.0105103,0.866894,0.988035,0.00398817,0.00398817,0.00398817
40,0,4,1065.79,4,1146.59,3,0,9,216.746,0.0960559,0.0294695,0.0107573,0.863717,0.987446,0.00418464,0.00418464,0.00418464
41,0,4,1065.79,4,1105.93,3,0,13,216.637,0.105326,0.0323058,0.0117903,0.850578,0.985751,0.00474965,0.00474965,0.00474965
