iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,0,19,2312.12,19,2312.12,1,0,33,391.158,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,0,19,2117.32,19,2117.32,2,0,33,390.962,0.21814,0.345581,0.21814,0.21814,0.345581,0.21814,0.21814,0.21814
2,0,19,2117.32,19,2137.91,1,0,9,390.767,0.191272,0.303045,0.31441,0.191272,0.453275,0.182242,0.182242,0.182242
3,0,19,2117.32,19,2216.21,2,0,9,390.571,0.192776,0.297535,0.316913,0.192776,0.443862,0.185379,0.185379,0.185379
4,0,19,2117.32,19,2216.21,0,3,0,390.376,0.194585,0.300354,0.310476,0.194585,0.434673,0.188442,0.188442,0.188442
5,0,19,2117.32,19,2216.21,3,1,0,390.181,0.170319,0.309409,0.319839,0.200434,0.445184,0.192967,0.192967,0.168882
6,0,19,2117.32,19,2216.21,2,1,0,389.986,0.175593,0.319029,0.329785,0.175593,0.456217,0.173033,0.197716,0.173033
7,0,19,2092.16,19,2092.16,2,3,33,389.791,0.187259,0.340264,0.285219,0.187259,0.46537,0.156509,0.201649,0.176471
8,0,19,2076.19,19,2076.19,2,0,33,389.596,0.159904,0.290593,0.3896,0.159904,0.413101,0.1389,0.178971,0.269028
9,0,19,2076.19,19,2174.84,1,0,9,389.401,0.131146,0.238359,0.49935,0.131146,0.523253,0.112822,0.145377,0.218548
10,0,18,2030.69,18,2030.69,2,0,33,389.206,0.130165,0.243919,0.49575,0.130165,0.51191,0.115498,0.148832,0.22376
11,0,18,2030.69,18,2030.69,2,0,0,389.012,0.102304,0.191734,0.603658,0.102304,0.618733,0.0902134,0.116256,0.174798
12,0,18,1987.34,18,1987.34,3,0,33,388.817,0.116938,0.219188,0.546936,0.116938,0.562313,0.103555,0.133456,0.200676
13,0,18,1987.34,18,1987.34,2,0,0,388.623,0.106913,0.200422,0.5002,0.192465,0.664463,0.0793809,0.102307,0.15385
14,0,18,1934.55,18,1934.55,2,1,33,388.428,0.11904,0.223183,0.443455,0.214321,0.609594,0.0923546,0.119034,0.179018
15,0,18,1934.55,18,1934.55,2,0,0,388.234,0.0956767,0.179403,0.552643,0.172278,0.565096,0.158685,0.110309,0.16591
16,0,18,1934.55,18,1934.55,3,3,0,388.04,0.10804,0.20261,0.494788,0.194562,0.507204,0.179811,0.124985,0.187999
17,0,17,1927.13,17,1927.13,2,2,33,387.846,0.110729,0.20768,0.507259,0.174331,0.519107,0.183993,0.127882,0.169018
18,0,17,1927.13,17,1927.13,2,2,0,387.652,0.0867574,0.16274,0.6139,0.136603,0.472362,0.16739,0.206485,0.153763
19,0,17,1927.13,17,1978.11,1,0,9,387.458,0.0996227,0.186896,0.556607,0.156874,0.486045,0.172203,0.18357,0.158182
20,0,17,1927.13,17,1979.8,1,0,9,387.265,0.0985022,0.195838,0.550536,0.155123,0.474088,0.17621,0.187843,0.16186
21,0,17,1927.13,17,1979.8,1,1,0,387.071,0.097458,0.204161,0.544888,0.153493,0.462394,0.180128,0.192022,0.165456
22,0,17,1927.13,17,1979.8,0,2,0,386.877,0.0999929,0.183255,0.559253,0.1575,0.473031,0.161336,0.196405,0.169227
23,0,17,1927.13,17,1940.84,2,1,13,386.684,0.0947075,0.184306,0.562587,0.158399,0.485466,0.165542,0.175352,0.17364
24,0,17,1915.53,17,1915.53,3,1,33,386.491,0.0931366,0.181273,0.569803,0.155787,0.473581,0.186041,0.171024,0.169354
25,0,17,1915.53,17,2018.19,1,0,9,386.297,0.0833608,0.162268,0.51018,0.244191,0.419181,0.279601,0.151348,0.14987
26,0,17,1915.53,17,2018.19,2,3,0,386.104,0.0824733,0.170952,0.504931,0.241644,0.407996,0.285004,0.154254,0.152747
27,0,17,1915.53,17,2007.12,2,2,13,385.911,0.092115,0.190965,0.446969,0.269952,0.415659,0.290336,0.157121,0.136884
28,0,17,1915.53,17,2007.12,3,3,0,385.718,0.0907245,0.18811,0.455232,0.265934,0.406649,0.284023,0.17544,0.133887
29,0,17,1915.53,17,2028.9,1,2,9,385.525,0.0947529,0.196491,0.475598,0.233158,0.412698,0.288227,0.17802,0.121055
30,0,17,1915.53,17,2028.9,1,2,0,385.333,0.0939687,0.202947,0.471815,0.23127,0.409851,0.286218,0.183741,0.12019
31,0,17,1915.53,17,2020.34,2,0,13,385.14,0.0965876,0.180534,0.48512,0.237758,0.420393,0.293559,0.162796,0.123251
32,0,17,1915.53,17,1981.81,1,3,13,384.947,0.0950394,0.177662,0.493309,0.233989,0.429008,0.289216,0.160369,0.121407
33,0,17,1915.53,17,1981.81,2,0,0,384.755,0.0926562,0.198083,0.481097,0.228163,0.420155,0.283225,0.157028,0.139592
34,0,17,1915.53,17,1969.6,3,0,13,384.563,0.10279,0.219782,0.424264,0.253164,0.366018,0.309689,0.17168,0.152613
35,0,17,1915.53,17,1969.6,2,0,0,384.37,0.100426,0.214759,0.414623,0.270191,0.375133,0.305256,0.169203,0.150407
36,0,17,1915.53,17,1969.6,2,3,0,384.178,0.109572,0.234354,0.361218,0.294856,0.324358,0.330082,0.182943,0.162617
37,0,17,1915.53,17,1971.79,0,0,9,383.986,0.118,0.252418,0.311984,0.317598,0.33183,0.337688,0.187136,0.143345
38,0,17,1915.53,17,1982.65,2,2,9,383.794,0.124756,0.250476,0.309598,0.31517,0.323801,0.34177,0.189376,0.145053
39,0,17,1915.53,17,1982.65,3,3,0,383.602,0.126031,0.25307,0.30245,0.318449,0.322531,0.340434,0.192574,0.144461
40,0,17,1915.53,17,1982.65,3,0,0,383.41,0.134357,0.269826,0.322487,0.27333,0.328493,0.346731,0.196114,0.128662
41,0,17,1915.53,17,1965.77,0,1,13,383.219,0.141322,0.283854,0.339266,0.235558,0.283065,0.370214,0.209372,0.137348
42,0,17,1915.53,17,1924.12,2,1,13,383.027,0.15833,0.278231,0.332556,0.230882,0.278603,0.380174,0.206059,0.135164
43,0,17,1914.82,17,1914.82,2,1,33,382.835,0.155863,0.273927,0.342908,0.227302,0.274183,0.390039,0.202778,0.133
44,0,17,1914.82,17,2045.32,1,2,9,382.644,0.130497,0.229372,0.449807,0.190324,0.225077,0.499308,0.166451,0.109164
45,0,17,1914.82,17,2024.69,2,1,13,382.453,0.129786,0.233447,0.447467,0.189301,0.222734,0.494188,0.175067,0.108012
46,0,17,1914.82,17,2024.69,1,1,0,382.261,0.127652,0.229636,0.456508,0.186203,0.219215,0.502202,0.172293,0.10629
47,0,17,1914.82,17,2079.07,1,2,9,382.07,0.132068,0.202856,0.472418,0.192658,0.24456,0.444674,0.192204,0.118562
48,0,17,1914.82,17,2079.07,2,1,0,381.879,0.13098,0.209288,0.468646,0.191086,0.2427,0.441344,0.198313,0.117643
49,0,17,1914.82,17,2117.15,1,0,9,381.688,0.144732,0.231284,0.412819,0.211165,0.266558,0.386453,0.217799,0.129189
50,0,17,1914.82,17,2117.15,2,2,0,381.498,0.144132,0.23437,0.411193,0.210305,0.265922,0.386817,0.217979,0.129282
51,0,17,1914.82,17,2117.15,3,2,0,381.307,0.156992,0.255306,0.358616,0.229086,0.275035,0.400102,0.19117,0.133693
52,0,17,1914.82,17,2117.15,0,0,0,381.116,0.162912,0.264961,0.372202,0.199924,0.282484,0.41097,0.169252,0.137294
