iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,5,1346.08,5,1346.08,3,0,33,201.259,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,5,1346.08,5,1346.08,3,0,0,201.158,0.21814,0.21814,0.21814,0.345581,0.345581,0.21814,0.21814,0.21814
2,5,1346.08,5,1408.25,0,3,9,201.058,0.233362,0.233362,0.233362,0.299913,0.299913,0.233362,0.233362,0.233362
3,5,1286.27,5,1286.27,0,2,33,200.957,0.23337,0.233355,0.233355,0.299919,0.299919,0.233355,0.233355,0.23337
4,5,1133.05,5,1133.05,2,1,33,200.857,0.32983,0.20399,0.20399,0.26219,0.262192,0.203991,0.329813,0.204004
5,5,1131.19,5,1131.19,3,2,33,200.756,0.291394,0.180201,0.296778,0.231627,0.231628,0.296778,0.291379,0.180214
6,4,1558.9,4,1558.9,1,1,33,200.656,0.2554,0.157927,0.260119,0.326554,0.198529,0.254382,0.392635,0.154454
7,3,1461.75,3,1461.75,0,2,33,200.556,0.230635,0.239563,0.234898,0.294904,0.171292,0.356636,0.338815,0.133257
8,3,1461.75,3,1461.75,1,3,0,200.455,0.324326,0.210387,0.206289,0.258999,0.143866,0.299577,0.444642,0.111915
9,3,1461.75,3,1461.75,1,0,0,200.355,0.335747,0.182611,0.213534,0.268108,0.145244,0.302492,0.449004,0.10326
10,3,1461.75,3,1461.75,0,2,0,200.255,0.345,0.160116,0.219399,0.275485,0.131509,0.307348,0.456248,0.104895
11,3,1461.75,3,1461.75,3,2,0,200.155,0.297237,0.17178,0.235397,0.295585,0.144977,0.338881,0.400509,0.115632
12,3,1461.75,3,1461.75,2,1,0,200.055,0.315242,0.182165,0.249644,0.252948,0.157602,0.368455,0.348245,0.125697
13,3,1461.75,3,1461.75,2,2,0,199.955,0.32962,0.190453,0.215453,0.264474,0.169964,0.318865,0.375621,0.13555
14,3,1461.75,3,1461.75,0,3,0,199.855,0.3413,0.19718,0.187688,0.273833,0.183515,0.344331,0.325804,0.14635
15,3,1441.32,3,1441.32,3,1,33,199.755,0.294695,0.211125,0.200961,0.293219,0.186843,0.350618,0.33175,0.130789
16,3,1432.72,3,1432.72,0,1,33,199.655,0.252447,0.180846,0.172138,0.394569,0.15606,0.457581,0.277125,0.109234
17,3,1417.35,3,1417.35,0,2,33,199.555,0.354645,0.15611,0.148591,0.340653,0.12473,0.566456,0.221516,0.0872981
18,3,1332.85,3,1332.85,3,1,33,199.455,0.460819,0.130417,0.124134,0.284631,0.108249,0.491759,0.324234,0.0757579
19,3,1332.85,3,1332.85,3,1,0,199.356,0.391952,0.110899,0.105555,0.391595,0.0856709,0.597715,0.256662,0.0599522
20,3,1331.42,3,1331.42,0,2,33,199.256,0.426225,0.120565,0.114755,0.338455,0.0982942,0.53838,0.294545,0.0687811
21,3,1331.42,3,1358.53,0,0,9,199.156,0.533908,0.0979263,0.0932061,0.27496,0.0829923,0.454723,0.404216,0.0580695
22,3,1331.42,3,1375.99,3,1,9,199.057,0.519577,0.100925,0.0960595,0.283438,0.0920057,0.45027,0.400248,0.0574772
23,3,1331.42,3,1358.94,0,1,13,198.957,0.519033,0.100786,0.0959264,0.284255,0.0943299,0.436268,0.410479,0.0589236
24,3,1331.42,3,1368.39,3,0,9,198.858,0.525024,0.099519,0.0947192,0.280738,0.0932904,0.442366,0.406075,0.0582688
25,3,1331.42,3,1368.39,0,0,0,198.758,0.524258,0.0993408,0.0945486,0.281853,0.102023,0.43812,0.402171,0.0576861
26,3,1331.42,3,1357.66,3,0,13,198.659,0.464883,0.111725,0.106335,0.317057,0.0939249,0.442086,0.405804,0.0581847
27,3,1297.83,3,1297.83,0,1,33,198.56,0.455022,0.109324,0.104048,0.331605,0.110289,0.434116,0.398482,0.0571126
28,3,1297.83,3,1299.03,3,1,9,198.46,0.562203,0.0878117,0.0835732,0.266412,0.0895835,0.540277,0.323755,0.0463843
29,3,1297.83,3,1299.03,0,1,0,198.361,0.560198,0.0874659,0.0832433,0.269093,0.0927024,0.524192,0.335113,0.0479929
30,3,1297.83,3,1299.03,1,1,0,198.262,0.500036,0.0994171,0.0946166,0.30593,0.104574,0.46317,0.378125,0.0541317
31,3,1297.83,3,1299.03,3,2,0,198.163,0.503733,0.092821,0.0952843,0.308162,0.116005,0.404386,0.419567,0.0600413
32,3,1297.83,3,1370.38,0,1,9,198.064,0.531893,0.0979768,0.100577,0.269553,0.127191,0.443488,0.3635,0.0658218
33,3,1297.83,3,1370.38,3,2,0,197.965,0.517943,0.100885,0.103563,0.27761,0.130196,0.430267,0.372168,0.0673684
34,3,1297.83,3,1319.61,0,2,13,197.866,0.542012,0.105538,0.108341,0.244108,0.140479,0.46436,0.322482,0.0726795
35,3,1297.83,3,1359.92,0,1,9,197.767,0.548393,0.104059,0.106822,0.240726,0.137516,0.454674,0.336672,0.0711371
36,3,1297.83,3,1359.92,0,0,0,197.668,0.534654,0.107215,0.110063,0.248068,0.140788,0.441647,0.344745,0.0728202
37,3,1297.83,3,1356.9,3,1,13,197.569,0.475831,0.120756,0.123965,0.279448,0.127005,0.448754,0.350276,0.0739654
38,3,1297.83,3,1356.9,0,2,0,197.47,0.464493,0.117847,0.120978,0.296682,0.125338,0.455928,0.345748,0.0729866
39,3,1297.83,3,1356.9,3,3,0,197.371,0.407746,0.130321,0.133785,0.328148,0.133941,0.48735,0.300721,0.0779881
40,3,1297.83,3,1356.78,3,2,13,197.273,0.434172,0.138736,0.142424,0.284668,0.134436,0.489275,0.30188,0.0744092
41,3,1297.83,3,1356.78,1,1,0,197.174,0.424448,0.135598,0.139203,0.300751,0.13126,0.477842,0.318254,0.0726431
42,3,1297.83,3,1381.23,0,0,9,197.076,0.4307,0.122917,0.141222,0.305161,0.145768,0.420079,0.353491,0.0806623
43,3,1297.83,3,1381.23,0,0,0,196.977,0.419689,0.125281,0.143943,0.311087,0.153134,0.416476,0.350446,0.079944
44,3,1297.83,3,1419.24,0,1,9,196.878,0.365909,0.136877,0.15727,0.339943,0.137092,0.424384,0.357089,0.0814351
45,3,1297.83,3,1421.41,3,2,9,196.78,0.356748,0.138841,0.159531,0.344881,0.139839,0.412791,0.364312,0.0830579
46,3,1297.83,3,1451.97,3,3,9,196.682,0.361126,0.140518,0.161462,0.336894,0.141557,0.417955,0.356417,0.08407
