iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,13,1595.48,13,1595.48,3,0,33,100,1,1,1,29.8,29.8,1,1,1
1,12,1440.26,12,1440.26,3,0,33,99.95,1,1,1,32.68,32.68,1,1,1
2,12,1401.38,12,1401.38,3,2,33,99.9,1,1,1,32.968,32.68,1,29.8,1
3,12,1372.54,12,1372.54,3,0,33,99.8501,1,1,1,32.9968,32.968,1,29.8,1
4,11,1248.08,11,1248.08,3,0,33,99.8001,1,1,1,32.9997,32.9968,1,29.8,1
5,11,1245.91,11,1245.91,3,0,33,99.7502,1,1,1,33,32.9997,1,29.8,1
6,11,1239.66,11,1239.66,3,0,33,99.7004,1,1,1,33,33,1,29.8,1
7,11,1221.87,11,1221.87,3,2,33,99.6505,1,1,1,33,33,1,32.68,1
8,11,1211.76,11,1211.76,3,2,33,99.6007,1,1,1,33,33,1,32.968,1
9,10,1176.51,10,1176.51,3,0,33,99.5509,1,1,1,33,33,1,32.968,1
10,10,1176.17,10,1176.17,3,2,33,99.5011,1,1,1,33,33,1,32.9968,1
11,10,1176.17,10,1181.71,3,0,9,99.4514,1,1,1,11.4,11.4,1,32.9968,1
12,10,1087.66,10,1087.66,3,0,33,99.4016,1,1,1,30.84,30.84,1,32.9968,1
13,10,1066.66,10,1066.66,3,0,33,99.3519,1,1,1,32.784,32.784,1,32.9968,1
14,10,1066.66,10,1068.87,3,0,9,99.3023,1,1,1,11.3784,11.3784,1,32.9968,1
15,7,817.345,7,817.345,1,2,33,99.2526,1,29.8,1,11.3784,11.3784,1,32.9997,1
16,7,815.41,7,815.41,3,3,33,99.203,1,29.8,1,30.8378,11.3784,1,32.9997,29.8
17,5,704.947,5,704.947,1,2,33,99.1534,1,32.68,1,30.8378,11.3784,1,33,29.8
18,3,594.323,3,594.323,1,3,33,99.1038,1,32.968,1,30.8378,11.3784,1,33,32.68
19,3,591.557,3,591.557,1,3,33,99.0543,1,32.9968,1,30.8378,11.3784,1,33,32.968
20,3,591.557,3,627.994,1,2,9,99.0047,1,11.3997,1,30.8378,11.3784,1,11.4,32.968
21,3,591.557,3,591.557,1,3,13,98.9552,1,12.84,1,30.8378,11.3784,1,11.4,14.9968
22,3,591.557,3,591.557,3,3,9,98.9058,1,12.84,1,11.1838,11.3784,1,11.4,9.59968
23,3,591.557,3,591.557,0,3,9,98.8563,8.2,12.84,1,11.1838,11.3784,1,11.4,9.05997
24,3,591.557,3,591.557,0,3,9,98.8069,8.92,12.84,1,11.1838,11.3784,1,11.4,9.006
25,3,591.557,3,591.557,0,2,9,98.7575,8.992,12.84,1,11.1838,11.3784,1,9.24,9.006
26,3,591.557,3,591.557,3,0,9,98.7081,8.992,12.84,1,9.21838,9.23784,1,9.24,9.006
27,3,591.557,3,591.557,3,0,9,98.6587,8.992,12.84,1,9.02184,9.02378,1,9.24,9.006
28,3,591.557,3,591.557,3,2,9,98.6094,8.992,12.84,1,9.00218,9.02378,1,9.024,9.006
29,3,591.557,3,591.557,3,3,9,98.5601,8.992,12.84,1,9.00022,9.02378,1,9.024,9.0006
30,3,591.557,3,591.557,3,3,9,98.5108,8.992,12.84,1,9.00002,9.02378,1,9.024,9.00006
31,3,591.557,3,591.557,3,2,9,98.4616,8.992,12.84,1,9,9.02378,1,9.0024,9.00006
32,3,591.557,3,607.439,1,0,9,98.4123,8.992,9.384,1,9,9.00238,1,9.0024,9.00006
33,3,591.557,3,591.557,3,2,13,98.3631,8.992,9.384,1,12.6,9.00238,1,12.6002,9.00006
34,3,591.557,3,591.557,0,3,9,98.314,8.9992,9.384,1,12.6,9.00238,1,12.6002,9.00001
35,3,591.557,3,591.557,0,2,9,98.2648,8.99992,9.384,1,12.6,9.00238,1,9.36002,9.00001
36,3,591.557,3,591.557,3,2,9,98.2157,8.99992,9.384,1,9.36,9.00238,1,9.036,9.00001
37,3,591.557,3,591.557,1,3,9,98.1666,8.99992,9.0384,1,9.36,9.00238,1,9.036,9
38,3,591.557,3,591.557,2,3,9,98.1175,8.99992,9.0384,8.2,9.36,9.00238,1,9.036,9
39,3,591.557,3,591.557,3,3,9,98.0684,8.99992,9.0384,8.2,9.036,9.00238,1,9.036,9
40,3,591.557,3,591.557,0,0,9,98.0194,8.99999,9.0384,8.2,9.036,9.00024,1,9.036,9
41,3,591.557,3,591.557,1,0,0,97.9704,8.99999,0.90384,8.2,9.036,0.900024,1,9.036,9
42,3,591.557,3,591.557,2,2,9,97.9214,8.99999,0.90384,8.92,9.036,0.900024,1,9.0036,9
43,3,591.557,3,591.557,3,2,9,97.8724,8.99999,0.90384,8.92,9.0036,0.900024,1,9.00036,9
44,3,591.557,3,591.557,0,3,9,97.8235,9,0.90384,8.92,9.0036,0.900024,1,9.00036,9
45,3,591.557,3,591.557,3,3,9,97.7746,9,0.90384,8.92,9.00036,0.900024,1,9.00036,9
46,3,591.557,3,591.557,3,3,9,97.7257,9,0.90384,8.92,9.00004,0.900024,1,9.00036,9
47,3,591.557,3,591.557,0,3,9,97.6768,9,0.90384,8.92,9.00004,0.900024,1,9.00036,9
