iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,0,17,1774.71,17,1774.71,0,1,330,281.661,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,0,17,1766.81,17,1766.81,0,1,33,281.521,0.995046,0.00165121,0.00165121,0.00165121,0.00165121,0.995046,0.00165121,0.00165121
2,0,17,1678.05,17,1678.05,0,1,33,281.38,0.996446,0.00118471,0.00118471,0.00118471,0.00118471,0.996446,0.00118471,0.00118471
3,0,15,1586.13,15,1586.13,0,1,330,281.239,0.997434,0.000855209,0.000855209,0.000855209,0.000855209,0.997434,0.000855209,0.000855209
4,0,13,1504.61,13,1504.61,0,1,330,281.099,0.999995,1.63009e-06,1.63009e-06,1.63009e-06,1.63009e-06,0.999995,1.63009e-06,1.63009e-06
5,0,13,1504.61,13,1504.61,0,1,0,280.958,1,3.50404e-09,3.50404e-09,3.50404e-09,3.50404e-09,1,3.50404e-09,3.50404e-09
6,0,13,1502.69,13,1502.69,0,1,33,280.818,1,6.29481e-09,6.29481e-09,6.29481e-09,6.29481e-09,1,6.29481e-09,6.29481e-09
7,0,13,1502.69,13,1502.69,0,1,9,280.677,1,5.77218e-09,5.77218e-09,5.77218e-09,5.77218e-09,1,5.77218e-09,5.77218e-09
8,0,13,1470.59,13,1470.59,0,1,33,280.537,1,8.57429e-09,8.57429e-09,8.57429e-09,8.57429e-09,1,8.57429e-09,8.57429e-09
9,0,13,1468.95,13,1468.95,0,1,33,280.397,1,7.81299e-09,7.81299e-09,7.81299e-09,7.81299e-09,1,7.81299e-09,7.81299e-09
10,0,13,1468.95,13,1573.09,0,1,9,280.256,1,7.13175e-09,7.13175e-09,7.13175e-09,7.13175e-09,1,7.13175e-09,7.13175e-09
11,0,13,1468.95,13,1573.09,0,1,0,280.116,1,1.05497e-08,1.05497e-08,1.05497e-08,1.05497e-08,1,1.05497e-08,1.05497e-08
12,0,13,1468.95,13,1545.25,0,1,13,279.976,1,1.85472e-08,1.85472e-08,1.85472e-08,1.85472e-08,1,1.85472e-08,1.85472e-08
13,0,13,1468.95,13,1595.24,0,1,9,279.836,1,2.48469e-08,2.48469e-08,2.48469e-08,2.48469e-08,1,2.48469e-08,2.48469e-08
14,0,13,1468.95,13,1595.24,0,1,9,279.696,1,3.5858e-08,3.5858e-08,3.5858e-08,3.5858e-08,1,3.5858e-08,3.5858e-08
15,0,13,1468.95,13,1563.52,0,1,13,279.556,1,5.13744e-08,5.13744e-08,5.13744e-08,5.13744e-08,1,5.13744e-08,5.13744e-08
16,0,13,1468.95,13,1563.52,0,1,0,279.417,1,6.74469e-08,6.74469e-08,6.74469e-08,6.74469e-08,1,6.74469e-08,6.74469e-08
17,0,13,1468.95,13,1563.52,0,1,0,279.277,1,1.14322e-07,1.14322e-07,1.14322e-07,1.14322e-07,1,1.14322e-07,1.14322e-07
18,0,13,1468.95,13,1563.52,0,1,0,279.137,0.999999,1.9177e-07,1.9177e-07,1.9177e-07,1.9177e-07,0.999999,1.9177e-07,1.9177e-07
19,0,13,1468.95,13,1563.52,0,1,0,278.998,0.999999,3.18418e-07,3.18418e-07,3.18418e-07,3.18418e-07,0.999999,3.18418e-07,3.18418e-07
20,0,13,1468.95,13,1563.52,0,1,0,278.858,0.999998,5.23444e-07,5.23444e-07,5.23444e-07,5.23444e-07,0.999998,5.23444e-07,5.23444e-07
21,0,13,1468.95,13,1563.52,0,1,0,278.719,0.999997,8.5209e-07,8.5209e-07,8.5209e-07,8.5209e-07,0.999997,8.5209e-07,8.5209e-07
22,0,13,1468.95,13,1563.52,0,1,0,278.579,0.999996,1.37381e-06,1.37381e-06,1.37381e-06,1.37381e-06,0.999996,1.37381e-06,1.37381e-06
23,0,13,1468.95,13,1563.52,0,1,0,278.44,0.999993,2.19421e-06,2.19421e-06,2.19421e-06,2.19421e-06,0.999993,2.19421e-06,2.19421e-06
24,0,13,1468.95,13,1608.93,0,1,9,278.301,0.99999,3.47231e-06,3.47231e-06,3.47231e-06,3.47231e-06,0.99999,3.47231e-06,3.47231e-06
25,0,13,1468.95,13,1608.93,0,1,0,278.162,0.999986,4.54426e-06,4.54426e-06,4.54426e-06,4.54426e-06,0.999986,4.54426e-06,4.54426e-06
26,0,13,1468.95,13,1605.05,0,1,13,278.023,0.999979,7.08884e-06,7.08884e-06,7.08884e-06,7.08884e-06,0.999979,7.08884e-06,7.08884e-06
27,0,13,1468.95,13,1587.24,0,1,13,277.884,0.999975,8.44021e-06,8.44021e-06,8.44021e-06,8.44021e-06,0.999975,8.44021e-06,8.44021e-06
28,0,13,1468.95,13,1579.03,0,1,13,277.745,0.99997,1.00144e-05,1.00144e-05,1.00144e-05,1.00144e-05,0.99997,1.00144e-05,1.00144e-05
29,0,13,1468.95,13,1579.03,0,1,0,277.606,0.999964,1.18419e-05,1.18419e-05,1.18419e-05,1.18419e-05,0.999964,1.18419e-05,1.18419e-05
30,0,13,1468.95,13,1578.43,0,1,13,277.467,0.999946,1.81284e-05,1.81284e-05,1.81284e-05,1.81284e-05,0.999946,1.81284e-05,1.81284e-05
31,0,13,1468.95,13,1578.43,0,1,0,277.328,0.999936,2.11855e-05,2.11855e-05,2.11855e-05,2.11855e-05,0.999936,2.11855e-05,2.11855e-05
32,0,13,1468.95,13,1578.43,0,1,0,277.19,0.999904,3.2063e-05,3.2063e-05,3.2063e-05,3.2063e-05,0.999904,3.2063e-05,3.2063e-05
33,0,13,1468.95,13,1578.43,0,1,0,277.051,0.999856,4.81299e-05,4.81299e-05,4.81299e-05,4.81299e-05,0.999856,4.81299e-05,4.81299e-05
34,0,13,1468.95,13,1577.03,0,1,13,276.913,0.999785,7.16704e-05,7.16704e-05,7.16704e-05,7.16704e-05,0.999785,7.16704e-05,7.16704e-05
35,0,13,1468.95,13,1577.03,0,1,0,276.774,0.999755,8.15015e-05,8.15015e-05,8.15015e-05,8.15015e-05,0.999755,8.15015e-05,8.15015e-05
36,0,13,1468.95,13,1577.03,0,1,9,276.636,0.99964,0.000120109,0.000120109,0.000120109,0.000120109,0.99964,0.000120109,0.000120109
37,0,13,1468.95,13,1577.03,0,1,0,276.497,0.99956,0.00014653,0.00014653,0.00014653,0.00014653,0.99956,0.00014653,0.00014653
