Instancia,Algoritmo,Run,Tiempo_s
c101,CLASSIC,1,8.3125
c101,CLASSIC,2,8.29688
c101,CLASSIC,3,8.3125
c101,CLASSIC,4,8.39062
c101,CLASSIC,5,8.35938
c101,CLASSIC,6,8.57812
c101,CLASSIC,7,8.28125
c101,CLASSIC,8,8.39062
c101,CLASSIC,9,8.48438
c101,CLASSIC,10,8.34375
c101,QLEARNING,1,7.98438
c101,QLEARNING,2,7.875
c101,QLEARNING,3,7.85938
c101,QLEARNING,4,8.03125
c101,QLEARNING,5,8.04688
c101,QLEARNING,6,8.17188
c101,QLEARNING,7,8.29688
c101,QLEARNING,8,8.20312
c101,QLEARNING,9,8.10938
c101,QLEARNING,10,8.15625
c102,CLASSIC,1,10.8906
c102,CLASSIC,2,10.9531
c102,CLASSIC,3,12.1875
c102,CLASSIC,4,10.9375
c102,CLASSIC,5,11.8594
c102,CLASSIC,6,10.7031
c102,CLASSIC,7,11.9688
c102,CLASSIC,8,10.7188
c102,CLASSIC,9,11.0938
c102,CLASSIC,10,11.7812
c102,QLEARNING,1,10.9844
c102,QLEARNING,2,10.7344
c102,QLEARNING,3,11.0625
c102,QLEARNING,4,10.7969
c102,QLEARNING,5,11.9688
c102,QLEARNING,6,11.2969
c102,QLEARNING,7,10.8438
c102,QLEARNING,8,11.0156
c102,QLEARNING,9,11.8281
c102,QLEARNING,10,11.6562
c103,CLASSIC,1,12.4844
c103,CLASSIC,2,12.4375
c103,CLASSIC,3,13.1562
c103,CLASSIC,4,12.4062
c103,CLASSIC,5,12.3438
c103,CLASSIC,6,12.2656
c103,CLASSIC,7,12.125
c103,CLASSIC,8,12.1094
c103,CLASSIC,9,13.5312
c103,CLASSIC,10,12.1406
c103,QLEARNING,1,12.4375
c103,QLEARNING,2,12.7031
c103,QLEARNING,3,12.3906
c103,QLEARNING,4,12.3594
c103,QLEARNING,5,12.7656
c103,QLEARNING,6,11.9688
c103,QLEARNING,7,12.2969
c103,QLEARNING,8,13.2969
c103,QLEARNING,9,12.4688
c103,QLEARNING,10,12.2812
c104,CLASSIC,1,12.3906
c104,CLASSIC,2,13.0312
c104,CLASSIC,3,12.8281
c104,CLASSIC,4,12.3281
c104,CLASSIC,5,15.0312
c104,CLASSIC,6,16.6094
c104,CLASSIC,7,16.75
c104,CLASSIC,8,17.8594
c104,CLASSIC,9,19.5938
c104,CLASSIC,10,18.6406
c104,QLEARNING,1,21.5625
c104,QLEARNING,2,21.3906
c104,QLEARNING,3,22.1875
c104,QLEARNING,4,24.0625
c104,QLEARNING,5,23.9688
c104,QLEARNING,6,23.7031
c104,QLEARNING,7,23.8594
c104,QLEARNING,8,25.5781
c104,QLEARNING,9,25.0625
c104,QLEARNING,10,24.25
c105,CLASSIC,1,10.3906
c105,CLASSIC,2,11.5
c105,CLASSIC,3,11.5
c105,CLASSIC,4,11.8125
c105,CLASSIC,5,10.7812
c105,CLASSIC,6,10.4688
c105,CLASSIC,7,10.2188
c105,CLASSIC,8,10.6406
c105,CLASSIC,9,9.71875
c105,CLASSIC,10,11.6719
c105,QLEARNING,1,11.5312
c105,QLEARNING,2,8.3125
c105,QLEARNING,3,9.17188
c105,QLEARNING,4,9.8125
c105,QLEARNING,5,10.25
c105,QLEARNING,6,9.625
c105,QLEARNING,7,13.125
c105,QLEARNING,8,13.4062
c105,QLEARNING,9,13.7031
c105,QLEARNING,10,11.2656
c106,CLASSIC,1,13.875
c106,CLASSIC,2,14.3281
c106,CLASSIC,3,14.9375
c106,CLASSIC,4,15.9531
c106,CLASSIC,5,15.0469
c106,CLASSIC,6,12.5781
c106,CLASSIC,7,14.2188
c106,CLASSIC,8,13.9219
c106,CLASSIC,9,14.9062
c106,CLASSIC,10,14.6875
c106,QLEARNING,1,12.75
c106,QLEARNING,2,13.5938
c106,QLEARNING,3,12.4062
c106,QLEARNING,4,13.5781
c106,QLEARNING,5,14.0469
c106,QLEARNING,6,12.9219
c106,QLEARNING,7,12.3281
c106,QLEARNING,8,11.9062
c106,QLEARNING,9,12.25
c106,QLEARNING,10,12.625
c107,CLASSIC,1,11.4531
c107,CLASSIC,2,10.6562
c107,CLASSIC,3,11.7656
c107,CLASSIC,4,12.2031
c107,CLASSIC,5,11.9219
c107,CLASSIC,6,11.7969
c107,CLASSIC,7,11.4375
c107,CLASSIC,8,11.75
c107,CLASSIC,9,12.7812
c107,CLASSIC,10,11.0469
c107,QLEARNING,1,12.0312
c107,QLEARNING,2,12.7344
c107,QLEARNING,3,10.875
c107,QLEARNING,4,11.0312
c107,QLEARNING,5,11.4375
c107,QLEARNING,6,10.8281
c107,QLEARNING,7,11.6406
c107,QLEARNING,8,11.2969
c107,QLEARNING,9,10.8906
c107,QLEARNING,10,10.6875
c108,CLASSIC,1,15.7812
c108,CLASSIC,2,15.3438
c108,CLASSIC,3,15.5938
c108,CLASSIC,4,15.4531
c108,CLASSIC,5,13.5469
c108,CLASSIC,6,13.9531
c108,CLASSIC,7,12.7188
c108,CLASSIC,8,12.5
c108,CLASSIC,9,11.7969
c108,CLASSIC,10,12.5
c108,QLEARNING,1,14.1562
c108,QLEARNING,2,13.7188
c108,QLEARNING,3,13.0312
c108,QLEARNING,4,11.6094
c108,QLEARNING,5,11.4062
c108,QLEARNING,6,10.5469
c108,QLEARNING,7,11.2812
c108,QLEARNING,8,11.2344
c108,QLEARNING,9,11.0781
c108,QLEARNING,10,11.2969
c109,CLASSIC,1,12.0469
c109,CLASSIC,2,11.8906
c109,CLASSIC,3,10.8594
c109,CLASSIC,4,11.5469
c109,CLASSIC,5,10.8281
c109,CLASSIC,6,10.8125
c109,CLASSIC,7,11.5469
c109,CLASSIC,8,11.0469
c109,CLASSIC,9,10.9219
c109,CLASSIC,10,10.75
c109,QLEARNING,1,11.375
c109,QLEARNING,2,11.0938
c109,QLEARNING,3,11.0469
c109,QLEARNING,4,10.5938
c109,QLEARNING,5,10.9844
c109,QLEARNING,6,11.7969
c109,QLEARNING,7,11.1406
c109,QLEARNING,8,11.0781
c109,QLEARNING,9,11.7812
c109,QLEARNING,10,12.0312
c201,CLASSIC,1,8.64062
c201,CLASSIC,2,8.76562
c201,CLASSIC,3,8.5625
c201,CLASSIC,4,8.29688
c201,CLASSIC,5,8.57812
c201,CLASSIC,6,8.57812
c201,CLASSIC,7,8.5625
c201,CLASSIC,8,8.5
c201,CLASSIC,9,8.14062
c201,CLASSIC,10,8.53125
c201,QLEARNING,1,8.79688
c201,QLEARNING,2,8.60938
c201,QLEARNING,3,8.96875
c201,QLEARNING,4,9.17188
c201,QLEARNING,5,8.6875
c201,QLEARNING,6,9.34375
c201,QLEARNING,7,8.9375
c201,QLEARNING,8,9.60938
c201,QLEARNING,9,9.76562
c201,QLEARNING,10,8.79688
c202,CLASSIC,1,15.3438
c202,CLASSIC,2,16.3906
c202,CLASSIC,3,16.5625
c202,CLASSIC,4,16.8906
c202,CLASSIC,5,24.375
c202,CLASSIC,6,22.3438
c202,CLASSIC,7,23.4062
c202,CLASSIC,8,22.8906
c202,CLASSIC,9,21.5938
c202,CLASSIC,10,25.1719
c202,QLEARNING,1,25.4219
c202,QLEARNING,2,23.3594
c202,QLEARNING,3,17.0625
c202,QLEARNING,4,20.0
c202,QLEARNING,5,15.9688
c202,QLEARNING,6,15.8594
c202,QLEARNING,7,16.8125
c202,QLEARNING,8,19.375
c202,QLEARNING,9,19.6875
c202,QLEARNING,10,17.3125
c203,CLASSIC,1,19.8438
c203,CLASSIC,2,20.5625
c203,CLASSIC,3,19.1094
c203,CLASSIC,4,19.8438
c203,CLASSIC,5,17.625
c203,CLASSIC,6,19.0938
c203,CLASSIC,7,18.5625
c203,CLASSIC,8,18.75
c203,CLASSIC,9,18.2969
c203,CLASSIC,10,18.2188
c203,QLEARNING,1,19.8281
c203,QLEARNING,2,23.9531
c203,QLEARNING,3,20.9844
c203,QLEARNING,4,19.8438
c203,QLEARNING,5,24.4062
c203,QLEARNING,6,21.25
c203,QLEARNING,7,21.2031
c203,QLEARNING,8,21.7188
c203,QLEARNING,9,21.4062
c203,QLEARNING,10,20.0156
c204,CLASSIC,1,19.1094
c204,CLASSIC,2,19.6406
c204,CLASSIC,3,19.8594
c204,CLASSIC,4,20.1094
c204,CLASSIC,5,20.4062
c204,CLASSIC,6,20.3125
c204,CLASSIC,7,19.4062
c204,CLASSIC,8,23.7812
c204,CLASSIC,9,18.6719
c204,CLASSIC,10,19.1562
c204,QLEARNING,1,20.9531
c204,QLEARNING,2,20.3281
c204,QLEARNING,3,22.8594
c204,QLEARNING,4,22.7031
c204,QLEARNING,5,21.7188
c204,QLEARNING,6,20.3906
c204,QLEARNING,7,20.1875
c204,QLEARNING,8,19.9688
c204,QLEARNING,9,20.7812
c204,QLEARNING,10,23.375
c205,CLASSIC,1,7.57812
c205,CLASSIC,2,10.2812
c205,CLASSIC,3,6.67188
c205,CLASSIC,4,18.5781
c205,CLASSIC,5,11.9688
c205,CLASSIC,6,11.7656
c205,CLASSIC,7,11.8906
c205,CLASSIC,8,9.73438
c205,CLASSIC,9,7.35938
c205,CLASSIC,10,9.125
c205,QLEARNING,1,7.96875
c205,QLEARNING,2,7.0
c205,QLEARNING,3,7.21875
c205,QLEARNING,4,7.71875
c205,QLEARNING,5,8.125
c205,QLEARNING,6,7.70312
c205,QLEARNING,7,8.01562
c205,QLEARNING,8,7.65625
c205,QLEARNING,9,7.17188
c205,QLEARNING,10,11.7344
c206,CLASSIC,1,9.09375
c206,CLASSIC,2,8.95312
c206,CLASSIC,3,8.65625
c206,CLASSIC,4,8.875
c206,CLASSIC,5,7.25
c206,CLASSIC,6,7.17188
c206,CLASSIC,7,7.76562
c206,CLASSIC,8,8.09375
c206,CLASSIC,9,9.10938
c206,CLASSIC,10,8.59375
c206,QLEARNING,1,11.3438
c206,QLEARNING,2,11.0469
c206,QLEARNING,3,11.4844
c206,QLEARNING,4,11.3281
c206,QLEARNING,5,11.0
c206,QLEARNING,6,11.1406
c206,QLEARNING,7,11.9531
c206,QLEARNING,8,12.9375
c206,QLEARNING,9,12.6875
c206,QLEARNING,10,13.0625
c207,CLASSIC,1,12.6875
c207,CLASSIC,2,9.46875
c207,CLASSIC,3,12.3281
c207,CLASSIC,4,9.53125
c207,CLASSIC,5,9.34375
c207,CLASSIC,6,9.28125
c207,CLASSIC,7,11.1719
c207,CLASSIC,8,9.65625
c207,CLASSIC,9,9.04688
c207,CLASSIC,10,10.1875
c207,QLEARNING,1,10.3438
c207,QLEARNING,2,9.34375
c207,QLEARNING,3,8.625
c207,QLEARNING,4,8.85938
c207,QLEARNING,5,9.60938
c207,QLEARNING,6,11.5938
c207,QLEARNING,7,15.9062
c207,QLEARNING,8,13.2344
c207,QLEARNING,9,15.0938
c207,QLEARNING,10,14.4219
c208,CLASSIC,1,14.0156
c208,CLASSIC,2,12.4531
c208,CLASSIC,3,10.8125
c208,CLASSIC,4,10.2969
c208,CLASSIC,5,11.4844
c208,CLASSIC,6,11.0781
c208,CLASSIC,7,11.2656
c208,CLASSIC,8,10.875
c208,CLASSIC,9,10.7344
c208,CLASSIC,10,10.4688
c208,QLEARNING,1,9.625
c208,QLEARNING,2,9.20312
c208,QLEARNING,3,6.85938
c208,QLEARNING,4,6.6875
c208,QLEARNING,5,6.375
c208,QLEARNING,6,5.67188
c208,QLEARNING,7,6.57812
c208,QLEARNING,8,5.54688
c208,QLEARNING,9,7.85938
c208,QLEARNING,10,9.14062
r101,CLASSIC,1,11.7344
r101,CLASSIC,2,11.8125
r101,CLASSIC,3,11.6875
r101,CLASSIC,4,11.5625
r101,CLASSIC,5,11.5
r101,CLASSIC,6,11.9531
r101,CLASSIC,7,11.5
r101,CLASSIC,8,11.5469
r101,CLASSIC,9,11.5938
r101,CLASSIC,10,11.7656
r101,QLEARNING,1,11.0938
r101,QLEARNING,2,11.8125
r101,QLEARNING,3,11.7031
r101,QLEARNING,4,11.625
r101,QLEARNING,5,11.7188
r101,QLEARNING,6,11.4844
r101,QLEARNING,7,11.8906
r101,QLEARNING,8,11.5469
